"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:39:43.486, 29 Apr 2021","0,0","0,0","2 654 994 464","1 758 142 464"
"10:39:44.478, 29 Apr 2021","0,0","0,0","2 654 994 464","1 760 239 616"
"10:39:45.478, 29 Apr 2021","1,4","0,0","2 654 994 464","1 795 891 200"
"10:39:46.478, 29 Apr 2021","6,4","0,0","2 654 994 464","2 001 412 096"
"10:39:47.478, 29 Apr 2021","16,5","0,3","2 654 994 464","1 679 499 264"
"10:39:48.478, 29 Apr 2021","13,1","0,0","2 654 994 464","1 490 755 584"
"10:39:49.478, 29 Apr 2021","6,5","0,0","2 654 994 464","1 696 276 480"
"10:39:50.478, 29 Apr 2021","7,4","0,0","2 654 994 464","1 337 876 176"
"10:39:51.478, 29 Apr 2021","11,7","0,4","2 654 994 464","846 010 688"
"10:39:52.479, 29 Apr 2021","8,4","0,0","2 654 994 464","961 702 928"
"10:39:53.479, 29 Apr 2021","6,9","0,0","2 654 994 464","1 196 583 952"
"10:39:54.479, 29 Apr 2021","7,4","0,0","2 654 994 464","1 429 367 824"
"10:39:55.479, 29 Apr 2021","7,2","0,0","2 654 994 464","1 670 540 304"
"10:39:56.479, 29 Apr 2021","7,8","0,0","2 654 994 464","905 564 048"
"10:39:57.479, 29 Apr 2021","6,8","0,0","2 654 994 464","1 157 222 288"
"10:39:58.479, 29 Apr 2021","7,2","0,0","2 654 994 464","1 406 783 376"
"10:39:59.479, 29 Apr 2021","7,2","0,0","2 654 994 464","1 673 121 680"
"10:40:00.480, 29 Apr 2021","7,4","0,0","2 654 994 464","815 607 168"
"10:40:01.480, 29 Apr 2021","7,0","0,0","2 654 994 464","1 058 876 800"
"10:40:02.480, 29 Apr 2021","6,9","0,0","2 654 994 464","1 318 923 648"
"10:40:03.480, 29 Apr 2021","7,1","0,0","2 654 994 464","1 562 193 280"
"10:40:04.480, 29 Apr 2021","6,9","0,0","2 654 994 464","1 797 074 304"
"10:40:05.480, 29 Apr 2021","7,5","0,0","2 654 994 464","871 534 656"
"10:40:06.480, 29 Apr 2021","7,3","0,0","2 654 994 464","1 125 290 048"
"10:40:07.480, 29 Apr 2021","8,0","0,0","2 654 994 464","1 376 948 288"
"10:40:08.481, 29 Apr 2021","7,9","0,0","2 654 994 464","1 645 383 744"
"10:40:09.481, 29 Apr 2021","7,4","0,0","2 654 994 464","1 909 624 896"
"10:40:10.481, 29 Apr 2021","7,7","0,0","2 654 994 464","952 813 912"
"10:40:11.481, 29 Apr 2021","6,8","0,0","2 654 994 464","1 240 123 736"
"10:40:12.481, 29 Apr 2021","7,7","0,0","2 654 994 464","1 508 559 192"
"10:40:13.481, 29 Apr 2021","7,5","0,0","2 654 994 464","1 881 852 248"
"10:40:14.481, 29 Apr 2021","7,7","0,0","2 654 994 464","912 718 216"
"10:40:15.481, 29 Apr 2021","6,7","0,0","2 654 994 464","1 176 959 368"
"10:40:16.482, 29 Apr 2021","6,7","0,0","2 654 994 464","1 445 394 824"
"10:40:17.482, 29 Apr 2021","8,8","0,0","2 654 994 464","1 688 664 456"
"10:40:18.482, 29 Apr 2021","8,3","0,0","2 654 994 464","1 923 545 480"
"10:40:19.482, 29 Apr 2021","7,6","0,0","2 654 994 464","850 887 072"
"10:40:20.482, 29 Apr 2021","7,7","0,0","2 654 994 464","1 096 253 856"
"10:40:21.482, 29 Apr 2021","6,9","0,0","2 654 994 464","1 337 426 336"
"10:40:22.482, 29 Apr 2021","6,7","0,0","2 654 994 464","1 580 695 968"
"10:40:23.482, 29 Apr 2021","7,0","0,0","2 654 994 464","1 828 159 904"
"10:40:24.483, 29 Apr 2021","8,0","0,0","2 654 994 464","2 077 720 992"
"10:40:25.483, 29 Apr 2021","8,2","0,0","2 654 994 464","974 243 488"
"10:40:26.483, 29 Apr 2021","6,8","0,0","2 654 994 464","1 204 930 208"
"10:40:27.483, 29 Apr 2021","6,9","0,0","2 654 994 464","1 446 102 688"
"10:40:28.483, 29 Apr 2021","6,9","0,0","2 654 994 464","1 685 178 016"
"10:40:29.483, 29 Apr 2021","9,1","0,0","2 654 994 464","1 926 350 496"
"10:40:30.483, 29 Apr 2021","7,8","0,1","2 654 994 464","791 355 392"
"10:40:31.483, 29 Apr 2021","7,0","0,0","2 654 994 464","1 026 236 416"
"10:40:32.483, 29 Apr 2021","6,9","0,0","2 654 994 464","1 275 797 504"
"10:40:33.484, 29 Apr 2021","6,8","0,0","2 654 994 464","1 514 872 832"
"10:40:34.484, 29 Apr 2021","6,9","0,0","2 654 994 464","1 764 433 920"
"10:40:35.484, 29 Apr 2021","7,0","0,0","2 654 994 464","2 026 577 920"
"10:40:36.484, 29 Apr 2021","8,2","0,0","2 654 994 464","866 613 376"
"10:40:37.484, 29 Apr 2021","6,9","0,0","2 654 994 464","1 124 563 072"
"10:40:38.484, 29 Apr 2021","6,9","0,0","2 654 994 464","1 382 512 768"
"10:40:39.484, 29 Apr 2021","6,9","0,0","2 654 994 464","1 627 879 552"
"10:40:40.485, 29 Apr 2021","6,8","0,0","2 654 994 464","1 877 440 640"
"10:40:41.485, 29 Apr 2021","7,1","0,0","2 654 994 464","2 129 098 880"
"10:40:42.485, 29 Apr 2021","7,9","0,1","2 654 994 464","950 029 520"
"10:40:43.485, 29 Apr 2021","6,9","0,0","2 654 994 464","1 210 076 368"
"10:40:44.485, 29 Apr 2021","6,9","0,0","2 654 994 464","1 474 317 520"
"10:40:45.485, 29 Apr 2021","6,9","0,0","2 654 994 464","1 734 364 368"
"10:40:46.485, 29 Apr 2021","7,0","0,0","2 654 994 464","1 998 605 520"
"10:40:47.485, 29 Apr 2021","8,4","0,1","2 654 994 464","798 737 488"
"10:40:48.486, 29 Apr 2021","7,0","0,0","2 654 994 464","1 058 784 336"
"10:40:49.486, 29 Apr 2021","5,7","0,0","2 654 994 464","1 289 471 056"
"10:40:50.486, 29 Apr 2021","7,0","0,0","2 654 994 464","1 547 420 752"
"10:40:51.486, 29 Apr 2021","6,4","0,0","2 654 994 464","1 809 564 752"
"10:40:52.486, 29 Apr 2021","6,6","0,0","2 654 994 464","2 002 502 736"
"10:40:53.486, 29 Apr 2021","6,4","0,0","2 654 994 464","2 161 886 288"
"10:40:54.486, 29 Apr 2021","8,3","0,0","2 654 994 464","1 082 785 760"
"10:40:55.486, 29 Apr 2021","8,0","0,0","2 654 994 464","1 835 663 328"
