"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:11:17.518, 29 Apr 2021","0,0","0,0","1 077 936 160","228 709 232"
"10:11:18.499, 29 Apr 2021","0,0","0,0","1 077 936 160","228 709 232"
"10:11:19.499, 29 Apr 2021","0,1","0,0","1 077 936 160","228 709 232"
"10:11:20.499, 29 Apr 2021","0,0","0,0","1 077 936 160","230 806 384"
"10:11:21.500, 29 Apr 2021","0,0","0,0","1 077 936 160","230 806 384"
"10:11:22.548, 29 Apr 2021","0,1","0,0","1 077 936 160","230 806 384"
"10:11:23.527, 29 Apr 2021","0,0","0,0","1 077 936 160","232 903 536"
"10:11:24.500, 29 Apr 2021","0,0","0,0","1 077 936 160","232 903 536"
"10:11:25.500, 29 Apr 2021","0,0","0,0","1 077 936 160","232 903 536"
"10:11:26.500, 29 Apr 2021","0,0","0,0","1 077 936 160","232 903 536"
"10:11:27.500, 29 Apr 2021","0,0","0,0","1 077 936 160","232 903 536"
"10:11:28.500, 29 Apr 2021","0,0","0,0","1 077 936 160","235 000 688"
"10:11:29.501, 29 Apr 2021","1,9","0,0","1 077 936 160","245 486 448"
"10:11:30.501, 29 Apr 2021","0,0","0,0","1 077 936 160","245 486 448"
"10:11:31.501, 29 Apr 2021","8,4","0,0","1 077 936 160","283 235 184"
"10:11:32.501, 29 Apr 2021","18,3","0,0","1 077 936 160","381 801 328"
"10:11:33.501, 29 Apr 2021","20,3","0,0","1 077 936 160","509 727 600"
"10:11:34.501, 29 Apr 2021","21,0","0,0","1 077 936 160","625 070 960"
"10:11:35.501, 29 Apr 2021","23,6","0,2","1 077 936 160","143 546 016"
"10:11:36.502, 29 Apr 2021","16,5","0,0","1 077 936 160","277 763 744"
"10:11:37.502, 29 Apr 2021","17,3","0,0","1 077 936 160","422 467 232"
"10:11:38.502, 29 Apr 2021","18,7","0,0","1 077 936 160","577 656 480"
"10:11:39.502, 29 Apr 2021","18,7","0,1","1 077 936 160","147 278 720"
"10:11:40.502, 29 Apr 2021","14,9","0,0","1 077 936 160","315 050 880"
"10:11:41.504, 29 Apr 2021","15,5","0,0","1 077 936 160","497 503 104"
"10:11:42.502, 29 Apr 2021","21,5","0,0","1 077 936 160","684 149 632"
"10:11:43.502, 29 Apr 2021","16,9","0,1","1 077 936 160","292 161 080"
"10:11:44.503, 29 Apr 2021","17,7","0,0","1 077 936 160","510 264 888"
"10:11:45.503, 29 Apr 2021","14,4","0,0","1 077 936 160","119 373 824"
"10:11:46.503, 29 Apr 2021","13,4","0,0","1 077 936 160","337 477 632"
"10:11:47.503, 29 Apr 2021","14,7","0,0","1 077 936 160","559 775 744"
"10:11:48.503, 29 Apr 2021","12,6","0,1","1 077 936 160","175 137 248"
"10:11:49.503, 29 Apr 2021","12,1","0,0","1 077 936 160","405 823 968"
"10:11:50.503, 29 Apr 2021","10,4","0,0","1 077 936 160","636 510 688"
"10:11:51.504, 29 Apr 2021","12,7","0,1","1 077 936 160","254 224 528"
"10:11:52.504, 29 Apr 2021","9,2","0,0","1 077 936 160","491 202 704"
"10:11:53.504, 29 Apr 2021","11,9","0,1","1 077 936 160","119 246 856"
"10:11:54.504, 29 Apr 2021","10,2","0,0","1 077 936 160","381 390 856"
"10:11:55.504, 29 Apr 2021","21,0","0,0","1 077 936 160","584 814 600"
"10:11:56.504, 29 Apr 2021","12,3","0,1","1 077 936 160","194 137 392"
"10:11:57.504, 29 Apr 2021","8,9","0,0","1 077 936 160","418 532 656"
"10:11:58.504, 29 Apr 2021","12,1","0,0","1 077 936 160","634 539 312"
"10:11:59.505, 29 Apr 2021","13,1","0,1","1 077 936 160","246 620 544"
"10:12:00.505, 29 Apr 2021","9,8","0,0","1 077 936 160","475 210 112"
"10:12:01.505, 29 Apr 2021","14,4","0,0","1 077 936 160","705 896 832"
"10:12:02.505, 29 Apr 2021","15,3","0,1","1 077 936 160","334 012 904"
"10:12:03.505, 29 Apr 2021","8,0","0,0","1 077 936 160","587 768 296"
"10:12:04.505, 29 Apr 2021","11,2","0,1","1 077 936 160","232 026 176"
"10:12:05.505, 29 Apr 2021","12,4","0,0","1 077 936 160","492 073 024"
"10:12:06.505, 29 Apr 2021","17,0","0,1","1 077 936 160","133 486 016"
"10:12:07.506, 29 Apr 2021","17,2","0,0","1 077 936 160","376 755 648"
"10:12:08.506, 29 Apr 2021","19,5","0,0","1 077 936 160","626 316 736"
"10:12:09.506, 29 Apr 2021","10,9","0,1","1 077 936 160","285 808 344"
"10:12:10.506, 29 Apr 2021","8,8","0,0","1 077 936 160","558 438 104"
"10:12:11.506, 29 Apr 2021","10,2","0,1","1 077 936 160","234 717 184"
"10:12:12.506, 29 Apr 2021","10,5","0,0","1 077 936 160","530 415 616"
"10:12:13.506, 29 Apr 2021","10,7","0,1","1 077 936 160","225 985 024"
"10:12:14.507, 29 Apr 2021","9,2","0,0","1 077 936 160","521 683 456"
"10:12:15.507, 29 Apr 2021","8,5","0,1","1 077 936 160","208 733 864"
"10:12:16.507, 29 Apr 2021","7,4","0,0","1 077 936 160","475 072 168"
"10:12:17.507, 29 Apr 2021","8,4","0,1","1 077 936 160","137 709 984"
"10:12:18.507, 29 Apr 2021","8,2","0,0","1 077 936 160","294 996 384"
"10:12:19.507, 29 Apr 2021","12,3","0,0","1 077 936 160","519 391 648"
"10:12:20.507, 29 Apr 2021","14,4","0,0","1 077 936 160","628 912 384"
"10:12:21.507, 29 Apr 2021","20,4","0,0","1 077 936 160","560 459 024"
"10:12:22.508, 29 Apr 2021","14,8","0,1","1 077 936 160","650 060 616"
"10:12:23.508, 29 Apr 2021","16,3","0,0","1 077 936 160","264 473 824"
"10:12:24.508, 29 Apr 2021","13,5","0,0","1 077 936 160","463 703 264"
"10:12:25.508, 29 Apr 2021","10,8","0,1","1 077 936 160","560 513 536"
"10:12:26.508, 29 Apr 2021","14,8","0,1","1 077 936 160","686 785 848"
"10:12:27.508, 29 Apr 2021","14,6","0,2","1 077 936 160","192 237 568"
"10:12:28.508, 29 Apr 2021","7,5","0,0","1 077 936 160","357 912 576"
"10:12:29.514, 29 Apr 2021","9,7","0,1","1 077 936 160","140 239 440"
"10:12:30.514, 29 Apr 2021","13,0","0,1","1 077 936 160","302 844 944"
"10:12:31.514, 29 Apr 2021","12,3","0,1","1 077 936 160","488 020 480"
"10:12:32.514, 29 Apr 2021","10,6","0,1","1 077 936 160","296 952 416"
"10:12:33.514, 29 Apr 2021","8,5","0,0","1 077 936 160","567 485 024"
"10:12:34.514, 29 Apr 2021","10,9","0,1","1 077 936 160","239 425 024"
"10:12:35.515, 29 Apr 2021","9,3","0,0","1 077 936 160","543 512 064"
"10:12:36.515, 29 Apr 2021","9,5","0,1","1 077 936 160","232 249 096"
"10:12:37.515, 29 Apr 2021","8,6","0,0","1 077 936 160","525 850 376"
"10:12:38.515, 29 Apr 2021","8,8","0,1","1 077 936 160","224 605 216"
"10:12:39.515, 29 Apr 2021","10,5","0,0","1 077 936 160","560 149 536"
"10:12:40.515, 29 Apr 2021","9,3","0,1","1 077 936 160","235 610 112"
"10:12:41.515, 29 Apr 2021","9,1","0,0","1 077 936 160","510 337 024"
"10:12:42.516, 29 Apr 2021","9,4","0,1","1 077 936 160","210 011 840"
"10:12:43.516, 29 Apr 2021","9,4","0,0","1 077 936 160","491 030 208"
"10:12:44.516, 29 Apr 2021","8,1","0,0","1 077 936 160","748 979 904"
"10:12:45.516, 29 Apr 2021","9,4","0,1","1 077 936 160","443 584 640"
"10:12:46.516, 29 Apr 2021","8,2","0,0","1 077 936 160","720 408 704"
"10:12:47.516, 29 Apr 2021","9,4","0,1","1 077 936 160","434 860 848"
"10:12:48.516, 29 Apr 2021","7,9","0,0","1 077 936 160","747 336 496"
"10:12:49.516, 29 Apr 2021","8,3","0,1","1 077 936 160","459 163 040"
"10:12:50.516, 29 Apr 2021","9,5","0,0","1 077 936 160","740 181 408"
"10:12:51.517, 29 Apr 2021","9,2","0,1","1 077 936 160","424 182 960"
"10:12:52.517, 29 Apr 2021","9,4","0,0","1 077 936 160","728 270 000"
"10:12:53.517, 29 Apr 2021","9,4","0,1","1 077 936 160","450 587 160"
