"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:39:36.342, 29 Apr 2021","0,0","0,0","746 586 144","159 970 080"
"10:39:37.328, 29 Apr 2021","5,6","0,0","746 586 144","191 427 360"
"10:39:38.328, 29 Apr 2021","0,4","0,0","746 586 144","191 427 360"
"10:39:39.329, 29 Apr 2021","2,7","0,0","746 586 144","212 398 880"
"10:39:40.329, 29 Apr 2021","1,0","0,0","746 586 144","214 496 032"
"10:39:41.329, 29 Apr 2021","0,2","0,0","746 586 144","214 496 032"
"10:39:42.329, 29 Apr 2021","2,0","0,0","746 586 144","231 273 248"
"10:39:43.329, 29 Apr 2021","33,3","0,2","979 370 016","137 577 472"
"10:39:44.329, 29 Apr 2021","38,7","0,2","979 370 016","137 043 968"
"10:39:45.329, 29 Apr 2021","32,3","0,0","979 370 016","380 313 600"
"10:39:46.329, 29 Apr 2021","8,3","0,0","979 370 016","386 605 056"
"10:39:47.330, 29 Apr 2021","6,6","0,0","979 370 016","390 799 360"
"10:39:48.330, 29 Apr 2021","8,8","0,0","979 370 016","411 770 880"
"10:39:49.330, 29 Apr 2021","8,0","0,1","979 370 016","146 826 920"
"10:39:50.330, 29 Apr 2021","5,6","0,0","979 370 016","153 118 376"
"10:39:51.330, 29 Apr 2021","5,3","0,0","979 370 016","157 312 680"
"10:39:52.330, 29 Apr 2021","5,3","0,0","979 370 016","163 604 136"
"10:39:53.330, 29 Apr 2021","5,3","0,0","979 370 016","169 895 592"
"10:39:54.330, 29 Apr 2021","4,6","0,0","979 370 016","176 187 048"
"10:39:55.330, 29 Apr 2021","3,7","0,0","979 370 016","180 381 352"
"10:39:56.331, 29 Apr 2021","3,4","0,0","979 370 016","186 672 808"
"10:39:57.331, 29 Apr 2021","2,5","0,0","979 370 016","192 964 264"
"10:39:58.331, 29 Apr 2021","2,6","0,0","979 370 016","199 255 720"
"10:39:59.331, 29 Apr 2021","2,2","0,0","979 370 016","205 547 176"
"10:40:00.331, 29 Apr 2021","2,1","0,0","979 370 016","209 741 480"
"10:40:01.331, 29 Apr 2021","1,9","0,0","979 370 016","216 032 936"
"10:40:02.331, 29 Apr 2021","2,4","0,0","979 370 016","222 324 392"
"10:40:03.331, 29 Apr 2021","2,4","0,0","979 370 016","226 518 696"
"10:40:04.332, 29 Apr 2021","2,1","0,0","979 370 016","232 810 152"
"10:40:05.332, 29 Apr 2021","2,8","0,0","979 370 016","237 004 456"
"10:40:06.332, 29 Apr 2021","4,4","0,0","979 370 016","243 295 912"
"10:40:07.332, 29 Apr 2021","1,6","0,0","979 370 016","249 587 368"
"10:40:08.332, 29 Apr 2021","2,2","0,0","979 370 016","255 878 824"
"10:40:09.332, 29 Apr 2021","2,2","0,0","979 370 016","260 073 128"
"10:40:10.332, 29 Apr 2021","1,4","0,0","979 370 016","266 364 584"
"10:40:11.333, 29 Apr 2021","2,1","0,0","979 370 016","272 656 040"
"10:40:12.333, 29 Apr 2021","2,2","0,0","979 370 016","278 947 496"
"10:40:13.333, 29 Apr 2021","2,2","0,0","979 370 016","287 336 104"
"10:40:14.333, 29 Apr 2021","1,8","0,0","979 370 016","295 724 712"
"10:40:15.333, 29 Apr 2021","4,9","0,0","979 370 016","302 016 168"
"10:40:16.333, 29 Apr 2021","1,7","0,0","979 370 016","308 307 624"
"10:40:17.333, 29 Apr 2021","1,4","0,0","979 370 016","314 599 080"
"10:40:18.333, 29 Apr 2021","2,9","0,0","979 370 016","320 890 536"
"10:40:19.334, 29 Apr 2021","1,4","0,0","979 370 016","327 181 992"
"10:40:20.334, 29 Apr 2021","1,5","0,0","979 370 016","333 473 448"
