"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:11:26.686, 29 Apr 2021","0,0","0,0","689 963 040","385 007 248"
"10:11:27.666, 29 Apr 2021","0,4","0,0","689 963 040","385 007 248"
"10:11:28.666, 29 Apr 2021","1,7","0,0","689 963 040","397 590 160"
"10:11:29.666, 29 Apr 2021","23,3","0,1","828 375 072","208 361 984"
"10:11:30.666, 29 Apr 2021","38,7","0,2","828 375 072","180 783 104"
"10:11:31.690, 29 Apr 2021","19,3","0,1","828 375 072","180 573 696"
"10:11:32.666, 29 Apr 2021","4,4","0,0","828 375 072","182 670 848"
"10:11:33.667, 29 Apr 2021","4,4","0,0","828 375 072","186 865 152"
"10:11:34.667, 29 Apr 2021","4,4","0,0","828 375 072","203 642 368"
"10:11:35.667, 29 Apr 2021","4,4","0,0","828 375 072","207 836 672"
"10:11:36.667, 29 Apr 2021","7,2","0,0","828 375 072","209 933 824"
"10:11:37.667, 29 Apr 2021","3,4","0,0","828 375 072","214 128 128"
"10:11:38.667, 29 Apr 2021","4,1","0,0","828 375 072","218 322 432"
"10:11:39.667, 29 Apr 2021","4,0","0,0","828 375 072","222 516 736"
"10:11:40.668, 29 Apr 2021","5,6","0,0","828 375 072","226 711 040"
"10:11:41.668, 29 Apr 2021","3,5","0,0","828 375 072","230 905 344"
"10:11:42.668, 29 Apr 2021","4,0","0,0","828 375 072","237 196 800"
"10:11:43.668, 29 Apr 2021","2,0","0,0","828 375 072","241 391 104"
"10:11:44.668, 29 Apr 2021","1,9","0,0","828 375 072","245 585 408"
"10:11:45.668, 29 Apr 2021","2,5","0,0","828 375 072","251 876 864"
"10:11:46.668, 29 Apr 2021","2,7","0,0","828 375 072","256 071 168"
"10:11:47.669, 29 Apr 2021","2,4","0,0","828 375 072","262 362 624"
"10:11:48.669, 29 Apr 2021","3,1","0,0","828 375 072","266 556 928"
"10:11:49.669, 29 Apr 2021","1,9","0,0","828 375 072","272 848 384"
"10:11:50.669, 29 Apr 2021","1,6","0,0","828 375 072","279 139 840"
"10:11:51.669, 29 Apr 2021","1,9","0,0","828 375 072","283 334 144"
"10:11:52.669, 29 Apr 2021","1,7","0,0","828 375 072","289 625 600"
"10:11:53.669, 29 Apr 2021","1,7","0,0","828 375 072","293 819 904"
"10:11:54.669, 29 Apr 2021","3,2","0,0","828 375 072","300 111 360"
"10:11:55.670, 29 Apr 2021","4,6","0,0","828 375 072","306 402 816"
"10:11:56.670, 29 Apr 2021","2,8","0,0","828 375 072","312 694 272"
"10:11:57.670, 29 Apr 2021","2,0","0,0","828 375 072","318 985 728"
"10:11:58.670, 29 Apr 2021","2,3","0,0","828 375 072","325 277 184"
"10:11:59.670, 29 Apr 2021","3,3","0,0","828 375 072","331 568 640"
"10:12:00.670, 29 Apr 2021","1,6","0,0","828 375 072","337 860 096"
"10:12:01.670, 29 Apr 2021","2,2","0,0","828 375 072","344 151 552"
"10:12:02.671, 29 Apr 2021","4,4","0,0","828 375 072","350 443 008"
"10:12:03.671, 29 Apr 2021","2,2","0,0","828 375 072","358 831 616"
"10:12:04.671, 29 Apr 2021","1,7","0,0","828 375 072","365 123 072"
"10:12:05.671, 29 Apr 2021","2,2","0,0","828 375 072","371 414 528"
"10:12:06.671, 29 Apr 2021","2,2","0,0","828 375 072","377 705 984"
