Date,Size [B],Used [B]
2021-04-30T09:05:02.967764,637735896,268233768
2021-04-30T09:05:05.468064,525361336,380608328
2021-04-30T09:05:07.968314,523836032,382133632
2021-04-30T09:05:10.468578,523729408,382240256
2021-04-30T09:05:12.968839,523729408,382240256
2021-04-30T09:05:15.469077,523729408,382240256
2021-04-30T09:05:17.969312,523729408,382240256
2021-04-30T09:05:20.469572,523729408,382240256
2021-04-30T09:05:22.969820,523729408,382240256
2021-04-30T09:05:25.470082,523713008,382256656
2021-04-30T09:05:27.970327,523315312,382654352
2021-04-30T09:05:30.470572,523315312,382654352
2021-04-30T09:05:32.970831,523315312,382654352
2021-04-30T09:05:35.471078,334602344,571367320
2021-04-30T09:05:37.971313,493014288,412955376
2021-04-30T09:05:40.471558,459799336,446170328
2021-04-30T09:05:42.971792,448610264,457359400
2021-04-30T09:05:45.472018,430775864,475193800
2021-04-30T09:05:47.972256,414367512,491602152
2021-04-30T09:05:50.472500,398621248,507348416
2021-04-30T09:05:52.972749,382905960,523063704
2021-04-30T09:05:55.472990,365071968,540897696
2021-04-30T09:05:57.973252,349000184,556969480
2021-04-30T09:06:00.473493,328381384,577588280
2021-04-30T09:06:02.973741,311247360,594722304
2021-04-30T09:06:05.473999,293082528,612887136
2021-04-30T09:06:07.974243,656303520,249666144
2021-04-30T09:06:10.474498,638148464,267821200
2021-04-30T09:06:12.974734,617111664,288858000
2021-04-30T09:06:15.474973,597778312,308191352
2021-04-30T09:06:17.975237,578307488,327662176
2021-04-30T09:06:20.475466,560425848,345543816
2021-04-30T09:06:22.975702,540955424,365014240
2021-04-30T09:06:25.475933,522803008,383166656
2021-04-30T09:06:27.976165,503930728,402038936
2021-04-30T09:06:30.476430,486032800,419936864
2021-04-30T09:06:32.976660,468027568,437942096
2021-04-30T09:06:35.476890,448680736,457288928
2021-04-30T09:06:37.977121,430530272,475439392
2021-04-30T09:06:40.477353,411259208,494710456
2021-04-30T09:06:42.977590,392779592,513190072
2021-04-30T09:06:45.477823,374100560,531869104
2021-04-30T09:06:47.978052,354518936,551450728
2021-04-30T09:06:50.478290,336880536,569089128
2021-04-30T09:06:52.978520,317280104,588689560
2021-04-30T09:06:55.478767,298016976,607952688
2021-04-30T09:07:42.706351,314026328,428365480
2021-04-30T09:07:45.206696,756331952,145443408
2021-04-30T09:07:47.706952,625565696,276209664
2021-04-30T09:07:50.207211,499343440,402431920
2021-04-30T09:07:52.707469,480736080,421039280
2021-04-30T09:07:55.207711,462520824,439254536
2021-04-30T09:07:57.707950,445126224,456649136
2021-04-30T09:08:00.208193,428056464,473718896
2021-04-30T09:08:02.708439,410659456,491115904
