Date,Size [B],Used [B]
2021-04-30T10:45:03.242923,484294008,354566792
2021-04-30T10:45:05.743251,688247488,150613312
2021-04-30T10:45:08.243548,683697584,155163216
2021-04-30T10:45:10.743835,683274320,155586480
2021-04-30T10:45:13.244095,683274320,155586480
2021-04-30T10:45:15.744352,683274320,155586480
2021-04-30T10:45:18.244613,683274320,155586480
2021-04-30T10:45:20.744887,683274320,155586480
2021-04-30T10:45:23.245133,683274320,155586480
2021-04-30T10:45:25.745393,683274320,155586480
2021-04-30T10:45:28.245648,683274320,155586480
2021-04-30T10:45:30.745903,683249712,155611088
2021-04-30T10:45:33.246172,683195904,155664896
2021-04-30T10:45:35.746398,525907456,312953344
2021-04-30T10:45:38.246662,454430544,384430256
2021-04-30T10:45:40.746915,392846848,446013952
2021-04-30T10:45:43.247149,226967976,611892824
2021-04-30T10:45:45.747370,207729024,631131776
2021-04-30T10:45:48.247604,513164448,325696352
2021-04-30T10:45:50.747843,498958104,339902696
2021-04-30T10:45:53.248081,482442272,356418528
2021-04-30T10:45:55.748308,467344104,371516696
2021-04-30T10:45:58.248526,450685824,388174976
2021-04-30T10:46:00.748755,430417248,408443552
2021-04-30T10:46:03.248984,413939704,424921096
2021-04-30T10:46:05.749214,394430792,444430008
2021-04-30T10:46:08.249451,378062136,460798664
2021-04-30T10:46:10.749686,359917928,478942872
2021-04-30T10:46:13.249922,342140488,496720312
2021-04-30T10:46:15.750154,323535912,515324888
2021-04-30T10:46:18.250390,305594496,533266304
2021-04-30T10:46:20.750632,287809120,551051680
2021-04-30T10:46:23.250863,268444528,570416272
2021-04-30T10:46:25.751102,251368176,587492624
2021-04-30T10:46:28.251341,232981912,605878888
2021-04-30T10:46:30.751584,216010024,622850776
2021-04-30T10:46:33.251818,197857328,641003472
2021-04-30T10:46:35.752053,178761344,660099456
2021-04-30T10:46:38.252294,505484496,333376304
2021-04-30T10:46:40.752532,487330824,351529976
2021-04-30T10:46:43.252772,469681640,369179160
2021-04-30T10:46:45.753011,451515304,387345496
2021-04-30T10:46:48.253256,431918240,406942560
2021-04-30T10:46:50.753483,412970976,425889824
2021-04-30T10:46:53.253709,385993464,452867336
2021-04-30T10:46:55.753934,366801344,472059456
2021-04-30T10:46:58.254156,348101944,490758856
2021-04-30T10:47:00.754375,329317576,509543224
2021-04-30T10:47:03.254595,310380096,528480704
2021-04-30T10:47:05.754828,291570800,547290000
2021-04-30T10:47:08.255054,274238888,564621912
2021-04-30T10:47:10.755280,257324384,581536416
2021-04-30T10:47:13.255505,238419344,600441456
2021-04-30T10:47:15.755739,219977864,618882936
2021-04-30T10:47:18.255980,201231520,637629280
2021-04-30T10:47:20.756213,180355000,658505800
2021-04-30T10:47:23.256445,162108232,676752568
2021-04-30T10:47:25.756689,500314112,338546688
2021-04-30T10:47:28.256933,479342592,359518208
2021-04-30T10:47:30.757159,463707184,375153616
2021-04-30T10:47:33.257386,442794096,396066704
2021-04-30T10:47:35.757645,422721536,416139264
2021-04-30T10:47:38.257892,403845120,435015680
2021-04-30T10:47:40.758127,384075928,454784872
2021-04-30T10:47:43.258362,367241448,471619352
2021-04-30T10:47:45.758587,346327184,492533616
2021-04-30T10:47:48.258809,327421008,511439792
2021-04-30T10:47:50.759031,307393592,531467208
2021-04-30T10:47:53.259253,291638728,547222072
2021-04-30T10:47:55.759496,271724544,567136256
2021-04-30T10:47:58.259738,252850176,586010624
2021-04-30T10:48:00.759966,233975808,604884992
2021-04-30T10:48:03.260195,215101440,623759360
2021-04-30T10:48:05.760426,197332760,641528040
2021-04-30T10:48:08.260680,178507528,660353272
2021-04-30T10:48:10.760902,159521056,679339744
2021-04-30T10:48:13.261142,511994152,326866648
2021-04-30T10:48:15.761373,494381360,344479440
2021-04-30T10:48:18.261598,472646512,366214288
2021-04-30T10:48:20.761831,455917360,382943440
2021-04-30T10:48:23.262067,434945840,403914960
2021-04-30T10:48:25.762299,416069424,422791376
2021-04-30T10:48:28.262533,397895336,440965464
2021-04-30T10:48:30.762770,379099152,459761648
2021-04-30T10:48:33.263007,359448368,479412432
2021-04-30T10:48:35.763235,342572216,496288584
2021-04-30T10:48:38.263472,321646728,517214072
2021-04-30T10:48:40.763713,302685968,536174832
2021-04-30T10:48:43.263944,283950896,554909904
2021-04-30T10:48:45.764173,265935712,572925088
2021-04-30T10:48:48.264414,246202160,592658640
2021-04-30T10:48:50.764642,228139392,610721408
2021-04-30T10:48:53.264873,390587176,448273624
2021-04-30T10:48:55.765098,369624888,469235912
2021-04-30T10:48:58.265351,350695304,488165496
2021-04-30T10:49:00.765603,333117264,505743536
2021-04-30T10:49:03.265846,282785616,556075184
2021-04-30T10:49:05.766084,252112112,586748688
2021-04-30T10:49:08.266312,226103224,612757576
2021-04-30T10:49:10.766545,199664584,639196216
2021-04-30T10:49:13.266788,169423216,669437584
2021-04-30T10:49:15.767016,140979640,697881160
2021-04-30T10:49:18.267246,461154304,377706496
2021-04-30T10:49:20.767490,430780032,408080768
2021-04-30T10:49:23.267720,404543584,434317216
2021-04-30T10:49:25.767950,376197496,462663304
2021-04-30T10:49:28.268182,342673680,496187120
2021-04-30T10:49:30.768427,319480056,519380744
2021-04-30T10:49:33.268676,288097752,550763048
2021-04-30T10:49:35.768904,256714368,582146432
2021-04-30T10:49:38.269141,230273408,608587392
2021-04-30T10:49:40.769371,199977936,638882864
2021-04-30T10:49:43.269611,170733184,668127616
2021-04-30T10:49:45.769846,141342336,697518464
2021-04-30T10:49:48.270077,461318496,377542304
2021-04-30T10:49:50.770309,434102784,404758016
2021-04-30T10:49:53.270546,404633848,434226952
2021-04-30T10:49:55.770797,371190272,467670528
2021-04-30T10:49:58.271034,346024448,492836352
2021-04-30T10:50:00.771272,315342312,523518488
2021-04-30T10:50:03.271509,287304192,551556608
2021-04-30T10:50:05.771743,257942016,580918784
2021-04-30T10:50:08.271980,228581888,610278912
2021-04-30T10:50:10.772215,200038936,638821864
2021-04-30T10:50:13.272456,169813712,669047088
2021-04-30T10:50:15.772680,140467720,698393080
2021-04-30T10:50:18.272922,474544976,364315824
2021-04-30T10:50:20.773228,444394664,394466136
2021-04-30T10:50:23.273489,415014968,423845832
2021-04-30T10:50:25.773724,387740488,451120312
2021-04-30T10:50:28.273963,357105744,481755056
2021-04-30T10:50:30.774194,327840176,511020624
2021-04-30T10:50:33.274425,299681232,539179568
2021-04-30T10:50:35.774656,269043464,569817336
2021-04-30T10:50:38.274890,241005728,597855072
2021-04-30T10:50:40.775118,211625472,627235328
2021-04-30T10:50:43.275379,182274288,656586512
2021-04-30T10:50:45.775640,155002024,683858776
2021-04-30T10:50:48.275884,485314720,353546080
2021-04-30T10:50:50.776178,458201000,380659800
2021-04-30T10:50:53.276429,430101608,408759192
2021-04-30T10:50:55.776660,400686856,438173944
2021-04-30T10:50:58.276897,375071216,463789584
2021-04-30T10:51:00.777136,344167032,494693768
2021-04-30T10:51:03.277382,315545736,523315064
2021-04-30T10:51:05.777617,287436736,551424064
2021-04-30T10:51:08.277856,256086648,582774152
2021-04-30T10:51:10.778098,230920824,607939976
2021-04-30T10:51:13.278332,197366392,641494408
2021-04-30T10:51:15.778562,170826376,668034424
2021-04-30T10:51:18.278813,143565896,695294904
2021-04-30T10:51:20.779043,476867224,361993576
2021-04-30T10:51:23.279279,449674688,389186112
2021-04-30T10:51:25.779520,420314560,418546240
2021-04-30T10:51:28.279752,389620040,449240760
2021-04-30T10:51:30.780007,361592256,477268544
2021-04-30T10:51:33.280238,330077744,508783056
2021-04-30T10:51:35.780489,303609488,535251312
2021-04-30T10:51:38.280747,272236696,566624104
2021-04-30T10:51:40.780970,244871528,593989272
2021-04-30T10:51:43.281205,214793664,624067136
2021-04-30T10:51:45.781431,193792168,645068632
2021-04-30T10:51:48.281664,172848576,666012224
2021-04-30T10:51:50.781911,154721976,684138824
2021-04-30T10:51:53.282158,135793224,703067576
2021-04-30T10:51:55.782386,479521040,359339760
2021-04-30T10:51:58.282612,462653240,376207560
2021-04-30T10:52:00.782841,444539280,394321520
