Date,Size [B],Used [B]
2021-04-30T08:20:43.918709,693409840,212559824
2021-04-30T08:20:46.419068,771875840,427695104
2021-04-30T08:20:48.919338,841051848,358519096
2021-04-30T08:20:51.419592,826237456,373333488
2021-04-30T08:20:53.919847,811011736,388559208
2021-04-30T08:20:56.420102,797661864,401909080
2021-04-30T08:20:58.920356,780230344,419340600
2021-04-30T08:21:01.420611,762893920,436677024
2021-04-30T08:21:03.920870,747444872,452126072
2021-04-30T08:21:06.421136,733289032,466281912
2021-04-30T08:21:08.921389,712884800,486686144
2021-04-30T08:21:11.421641,694340192,505230752
2021-04-30T08:21:13.921888,677558880,522012064
2021-04-30T08:21:16.422143,660542976,539027968
2021-04-30T08:21:18.922408,641259104,558311840
2021-04-30T08:21:21.422670,623803944,575767000
2021-04-30T08:21:23.922924,606937752,592633192
2021-04-30T08:21:26.423169,586679496,612891448
2021-04-30T08:21:28.923423,569189008,630381936
2021-04-30T08:21:31.423677,549636640,649934304
2021-04-30T08:21:33.923940,865027000,334543944
2021-04-30T08:21:36.424185,843154624,356416320
2021-04-30T08:21:38.924443,824278208,375292736
2021-04-30T08:21:41.424697,776952720,422618224
2021-04-30T08:21:43.924952,740791816,458779128
2021-04-30T08:21:46.425210,711032000,488538944
2021-04-30T08:21:48.925461,687965376,511605568
2021-04-30T08:21:51.425706,658605248,540965696
2021-04-30T08:21:53.925999,630148040,569422904
2021-04-30T08:21:56.426268,604079296,595491648
2021-04-30T08:21:58.926521,574719168,624851776
2021-04-30T08:22:01.426789,549553344,650017600
2021-04-30T08:22:03.927052,531583888,667987056
2021-04-30T08:22:06.427314,513899712,685671232
2021-04-30T08:22:08.927568,495934384,703636560
2021-04-30T08:22:11.427823,476150976,723419968
2021-04-30T08:22:13.928086,457278656,742292288
2021-04-30T08:22:16.428344,441406352,758164592
2021-04-30T08:22:18.928595,420432840,779138104
2021-04-30T08:22:21.428849,402695584,796875360
2021-04-30T08:22:23.929096,382686096,816884848
