"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"12:17:57.466, 28 Apr 2021","0,0","0,0","706 740 256","477 138 352"
"12:17:58.450, 28 Apr 2021","1,4","0,0","706 740 256","485 526 960"
"12:17:59.450, 28 Apr 2021","33,1","0,2","727 711 776","215 064 576"
"12:18:00.450, 28 Apr 2021","39,1","0,2","874 512 416","147 567 552"
"12:18:01.450, 28 Apr 2021","38,5","0,0","874 512 416","151 284 464"
"12:18:02.450, 28 Apr 2021","48,9","0,1","874 512 416","436 266 920"
"12:18:03.450, 28 Apr 2021","48,2","0,4","874 512 416","483 030 928"
"12:18:04.451, 28 Apr 2021","27,6","0,2","874 512 416","516 628 480"
"12:18:05.451, 28 Apr 2021","87,1","0,4","1 050 673 184","605 904 416"
"12:18:06.451, 28 Apr 2021","93,3","0,2","1 050 673 184","296 723 592"
"12:18:07.451, 28 Apr 2021","80,2","0,1","1 050 673 184","588 429 752"
"12:18:08.453, 28 Apr 2021","33,2","0,3","1 262 485 536","307 609 416"
"12:18:09.453, 28 Apr 2021","15,8","0,1","1 262 485 536","759 265 888"
"12:18:10.453, 28 Apr 2021","30,9","0,0","1 262 485 536","834 932 384"
"12:18:11.453, 28 Apr 2021","31,4","0,1","1 262 485 536","403 318 880"
"12:18:12.453, 28 Apr 2021","0,0","0,0","1 262 485 536","564 799 584"
"12:18:13.453, 28 Apr 2021","0,0","0,0","1 262 485 536","564 799 584"
"12:18:14.453, 28 Apr 2021","0,0","0,0","1 262 485 536","564 799 584"
