"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"12:14:40.735, 28 Apr 2021","0,0","0,0","805 306 400","231 068 448"
"12:14:41.720, 28 Apr 2021","36,3","0,0","805 306 400","275 108 640"
"12:14:42.720, 28 Apr 2021","36,1","0,0","805 306 400","342 217 504"
"12:14:43.720, 28 Apr 2021","24,4","0,3","805 306 400","94 971 904"
"12:14:44.720, 28 Apr 2021","0,6","0,0","805 306 400","101 263 360"
"12:14:45.720, 28 Apr 2021","0,9","0,0","805 306 400","101 263 360"
"12:14:46.720, 28 Apr 2021","16,4","0,0","805 306 400","233 383 936"
"12:14:47.720, 28 Apr 2021","36,4","0,3","805 306 400","340 636 672"
"12:14:48.721, 28 Apr 2021","30,0","0,1","805 306 400","414 260 544"
"12:14:49.721, 28 Apr 2021","37,2","0,1","981 467 168","341 770 800"
"12:14:50.721, 28 Apr 2021","35,7","0,2","981 467 168","301 647 264"
"12:14:51.721, 28 Apr 2021","35,3","0,2","981 467 168","230 741 344"
"12:14:52.721, 28 Apr 2021","34,6","0,0","981 467 168","702 600 544"
"12:14:53.721, 28 Apr 2021","32,1","0,2","981 467 168","419 764 224"
"12:14:54.721, 28 Apr 2021","60,7","0,3","981 467 168","650 103 144"
"12:14:55.721, 28 Apr 2021","48,1","0,3","981 467 168","621 719 768"
"12:14:56.722, 28 Apr 2021","60,9","1,0","1 231 028 256","480 976 896"
"12:14:57.722, 28 Apr 2021","15,0","0,2","1 231 028 256","705 818 240"
"12:14:58.722, 28 Apr 2021","53,9","1,0","1 824 522 272","682 303 488"
"12:14:59.722, 28 Apr 2021","31,3","0,3","1 824 522 272","857 415 680"
"12:15:00.722, 28 Apr 2021","15,8","0,6","1 824 522 272","966 467 584"
"12:15:01.722, 28 Apr 2021","12,4","0,0","1 824 522 272","1 283 137 536"
"12:15:02.723, 28 Apr 2021","9,5","0,0","1 824 522 272","1 367 023 616"
"12:15:03.723, 28 Apr 2021","9,7","0,0","1 824 522 272","1 421 549 568"
"12:15:04.723, 28 Apr 2021","15,3","0,4","1 824 522 272","849 027 072"
"12:15:05.723, 28 Apr 2021","20,6","0,9","2 977 955 872","882 347 520"
"12:15:06.723, 28 Apr 2021","15,9","0,0","2 977 955 872","1 377 275 392"
"12:15:07.723, 28 Apr 2021","92,5","0,6","2 977 955 872","1 494 843 392"
"12:15:08.727, 28 Apr 2021","97,1","0,7","2 977 955 872","1 031 715 840"
"12:15:09.726, 28 Apr 2021","90,4","0,1","2 977 955 872","1 205 376 608"
"12:15:10.727, 28 Apr 2021","94,1","0,1","2 977 955 872","1 576 975 360"
"12:15:11.727, 28 Apr 2021","99,5","0,2","2 977 955 872","1 717 484 544"
"12:15:12.727, 28 Apr 2021","94,1","0,3","2 977 955 872","2 171 517 952"
"12:15:13.727, 28 Apr 2021","92,3","0,2","2 977 955 872","2 381 233 152"
"12:15:14.727, 28 Apr 2021","92,6","0,3","2 977 955 872","2 447 778 816"
"12:15:15.727, 28 Apr 2021","93,1","0,3","2 977 955 872","2 444 596 736"
"12:15:16.727, 28 Apr 2021","91,9","0,6","2 977 955 872","1 456 904 192"
"12:15:17.727, 28 Apr 2021","93,3","0,2","2 977 955 872","1 786 157 056"
"12:15:18.728, 28 Apr 2021","88,2","0,3","2 977 955 872","2 126 902 272"
"12:15:19.728, 28 Apr 2021","90,6","0,2","2 977 955 872","2 547 381 248"
"12:15:20.728, 28 Apr 2021","86,4","0,6","2 977 955 872","1 717 542 400"
"12:15:21.728, 28 Apr 2021","45,0","0,2","2 977 955 872","2 029 262 848"
"12:15:22.728, 28 Apr 2021","16,4","0,4","2 977 955 872","1 271 583 232"
"12:15:23.728, 28 Apr 2021","10,6","0,0","2 977 955 872","1 867 174 400"
"12:15:24.729, 28 Apr 2021","24,9","0,3","2 977 955 872","1 252 728 832"
"12:15:25.729, 28 Apr 2021","34,3","0,2","2 977 955 872","1 487 609 856"
"12:15:26.729, 28 Apr 2021","25,4","0,2","2 977 955 872","1 761 288 192"
"12:15:27.729, 28 Apr 2021","15,4","0,2","2 977 955 872","2 226 855 936"
"12:15:28.732, 28 Apr 2021","17,0","0,5","2 977 955 872","1 265 311 744"
"12:15:29.729, 28 Apr 2021","17,3","0,0","2 977 955 872","2 385 190 912"
"12:15:30.729, 28 Apr 2021","0,0","0,0","2 977 955 872","2 479 562 752"
"12:15:31.730, 28 Apr 2021","0,0","0,0","2 977 955 872","2 479 562 752"
"12:15:32.730, 28 Apr 2021","0,0","0,0","2 977 955 872","2 479 562 752"
