"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"12:19:49.447, 28 Apr 2021","0,0","0,0","778 043 424","199 901 936"
"12:19:50.433, 28 Apr 2021","29,6","0,3","778 043 424","484 627 824"
"12:19:51.433, 28 Apr 2021","16,1","0,1","778 043 424","88 243 200"
"12:19:52.434, 28 Apr 2021","0,4","0,0","778 043 424","90 340 352"
"12:19:53.434, 28 Apr 2021","0,2","0,0","778 043 424","90 340 352"
"12:19:54.434, 28 Apr 2021","27,1","0,0","778 043 424","308 444 160"
"12:19:55.434, 28 Apr 2021","40,9","0,3","935 329 824","212 046 192"
"12:19:56.434, 28 Apr 2021","36,9","0,0","935 329 824","218 832 896"
"12:19:57.434, 28 Apr 2021","50,6","0,1","935 329 824","344 606 064"
"12:19:58.434, 28 Apr 2021","83,5","0,3","935 329 824","563 950 080"
"12:19:59.435, 28 Apr 2021","24,3","0,1","935 329 824","593 266 528"
"12:20:00.435, 28 Apr 2021","13,8","0,2","935 329 824","412 955 136"
"12:20:01.435, 28 Apr 2021","18,8","0,1","935 329 824","603 436 416"
"12:20:02.435, 28 Apr 2021","34,5","0,0","935 329 824","630 154 224"
"12:20:03.435, 28 Apr 2021","0,0","0,0","935 329 824","634 348 528"
"12:20:04.435, 28 Apr 2021","0,0","0,0","935 329 824","634 348 528"
"12:20:05.435, 28 Apr 2021","0,0","0,0","935 329 824","634 348 528"
