"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"12:18:05.706, 29 Apr 2021","0,0","0,0","880 803 872","62 754 160"
"12:18:06.691, 29 Apr 2021","22,6","0,0","880 803 872","224 234 864"
"12:18:07.691, 29 Apr 2021","4,4","0,0","880 803 872","236 817 776"
"12:18:08.692, 29 Apr 2021","0,5","0,0","880 803 872","236 817 776"
"12:18:09.692, 29 Apr 2021","0,4","0,0","880 803 872","236 817 776"
"12:18:10.692, 29 Apr 2021","0,4","0,0","880 803 872","238 914 928"
"12:18:11.692, 29 Apr 2021","0,8","0,0","880 803 872","238 914 928"
"12:18:12.692, 29 Apr 2021","0,4","0,0","880 803 872","238 914 928"
"12:18:13.692, 29 Apr 2021","0,7","0,0","880 803 872","238 914 928"
"12:18:14.693, 29 Apr 2021","0,2","0,0","880 803 872","238 914 928"
"12:18:15.693, 29 Apr 2021","0,4","0,0","880 803 872","241 012 080"
"12:18:16.693, 29 Apr 2021","0,8","0,0","880 803 872","241 012 080"
"12:18:17.693, 29 Apr 2021","0,0","0,0","880 803 872","241 012 080"
"12:18:18.693, 29 Apr 2021","0,4","0,0","880 803 872","241 012 080"
"12:18:19.693, 29 Apr 2021","0,0","0,0","880 803 872","241 012 080"
"12:18:20.693, 29 Apr 2021","0,1","0,0","880 803 872","241 012 080"
"12:18:21.693, 29 Apr 2021","0,5","0,0","880 803 872","243 109 232"
"12:18:22.694, 29 Apr 2021","0,5","0,0","880 803 872","243 109 232"
"12:18:23.694, 29 Apr 2021","0,4","0,0","880 803 872","243 109 232"
"12:18:24.694, 29 Apr 2021","0,3","0,0","880 803 872","243 109 232"
"12:18:25.694, 29 Apr 2021","0,0","0,0","880 803 872","243 109 232"
"12:18:26.694, 29 Apr 2021","0,1","0,0","880 803 872","243 109 232"
"12:18:27.694, 29 Apr 2021","0,0","0,0","880 803 872","245 206 384"
"12:18:28.694, 29 Apr 2021","0,3","0,0","880 803 872","245 206 384"
"12:18:29.695, 29 Apr 2021","0,2","0,0","880 803 872","245 206 384"
"12:18:30.695, 29 Apr 2021","0,2","0,0","880 803 872","245 206 384"
"12:18:31.695, 29 Apr 2021","0,2","0,0","880 803 872","245 206 384"
"12:18:32.695, 29 Apr 2021","0,1","0,0","880 803 872","245 206 384"
"12:18:33.695, 29 Apr 2021","0,3","0,0","880 803 872","247 303 536"
"12:18:34.695, 29 Apr 2021","0,1","0,0","880 803 872","247 303 536"
"12:18:35.695, 29 Apr 2021","0,2","0,0","880 803 872","247 303 536"
"12:18:36.696, 29 Apr 2021","0,2","0,0","880 803 872","247 303 536"
"12:18:37.696, 29 Apr 2021","0,1","0,0","880 803 872","247 303 536"
"12:18:38.696, 29 Apr 2021","0,1","0,0","880 803 872","249 400 688"
"12:18:39.696, 29 Apr 2021","0,1","0,0","880 803 872","249 400 688"
"12:18:40.696, 29 Apr 2021","0,0","0,0","880 803 872","249 400 688"
"12:18:41.696, 29 Apr 2021","0,1","0,0","880 803 872","249 400 688"
"12:18:42.696, 29 Apr 2021","0,0","0,0","880 803 872","249 400 688"
"12:18:43.697, 29 Apr 2021","0,2","0,0","880 803 872","249 400 688"
"12:18:44.697, 29 Apr 2021","0,1","0,0","880 803 872","251 497 840"
"12:18:45.697, 29 Apr 2021","0,0","0,0","880 803 872","251 497 840"
"12:18:46.697, 29 Apr 2021","0,0","0,0","880 803 872","251 497 840"
"12:18:47.697, 29 Apr 2021","0,0","0,0","880 803 872","251 497 840"
"12:18:48.697, 29 Apr 2021","0,0","0,0","880 803 872","251 497 840"
"12:18:49.697, 29 Apr 2021","0,1","0,0","880 803 872","251 497 840"
"12:18:50.697, 29 Apr 2021","0,0","0,0","880 803 872","253 594 992"
"12:18:51.698, 29 Apr 2021","0,1","0,0","880 803 872","253 594 992"
"12:18:52.698, 29 Apr 2021","0,0","0,0","880 803 872","253 594 992"
"12:18:53.698, 29 Apr 2021","0,1","0,0","880 803 872","253 594 992"
"12:18:54.698, 29 Apr 2021","0,0","0,0","880 803 872","253 594 992"
"12:18:55.698, 29 Apr 2021","0,0","0,0","880 803 872","253 594 992"
"12:18:56.701, 29 Apr 2021","0,0","0,0","880 803 872","253 594 992"
"12:18:57.701, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:18:58.701, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:18:59.701, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:19:00.702, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:19:01.702, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:19:02.704, 29 Apr 2021","0,0","0,0","880 803 872","255 692 144"
"12:19:03.702, 29 Apr 2021","0,0","0,0","880 803 872","257 789 296"
"12:19:04.702, 29 Apr 2021","0,4","0,0","880 803 872","257 789 296"
"12:19:05.702, 29 Apr 2021","0,0","0,0","880 803 872","257 789 296"
"12:19:06.704, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:07.703, 29 Apr 2021","0,1","0,0","880 803 872","259 886 448"
"12:19:08.703, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:09.704, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:10.704, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:11.704, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:12.704, 29 Apr 2021","0,0","0,0","880 803 872","259 886 448"
"12:19:13.704, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:14.704, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:15.704, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:16.705, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:17.705, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:18.705, 29 Apr 2021","1,0","0,0","880 803 872","261 983 600"
"12:19:19.705, 29 Apr 2021","0,0","0,0","880 803 872","261 983 600"
"12:19:20.705, 29 Apr 2021","0,0","0,0","880 803 872","264 080 752"
"12:19:21.708, 29 Apr 2021","0,0","0,0","880 803 872","264 080 752"
"12:19:22.706, 29 Apr 2021","0,0","0,0","880 803 872","264 080 752"
"12:19:23.706, 29 Apr 2021","0,0","0,0","880 803 872","264 080 752"
"12:19:24.706, 29 Apr 2021","0,1","0,0","880 803 872","264 080 752"
"12:19:25.707, 29 Apr 2021","0,1","0,0","880 803 872","264 080 752"
"12:19:26.707, 29 Apr 2021","0,0","0,0","880 803 872","264 080 752"
"12:19:27.707, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:28.707, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:29.707, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:30.707, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:31.707, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:32.708, 29 Apr 2021","0,0","0,0","880 803 872","266 177 904"
"12:19:33.708, 29 Apr 2021","0,2","0,0","880 803 872","266 177 904"
"12:19:34.708, 29 Apr 2021","0,0","0,0","880 803 872","268 275 056"
"12:19:35.708, 29 Apr 2021","0,0","0,0","880 803 872","268 275 056"
"12:19:36.708, 29 Apr 2021","0,0","0,0","880 803 872","268 275 056"
"12:19:37.708, 29 Apr 2021","0,0","0,0","880 803 872","268 275 056"
"12:19:38.708, 29 Apr 2021","0,0","0,0","880 803 872","268 275 056"
"12:19:39.708, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:40.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:41.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:42.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:43.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:44.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:45.709, 29 Apr 2021","0,0","0,0","880 803 872","270 372 208"
"12:19:46.709, 29 Apr 2021","0,0","0,0","880 803 872","272 469 360"
"12:19:47.709, 29 Apr 2021","0,3","0,0","880 803 872","272 469 360"
"12:19:48.710, 29 Apr 2021","0,1","0,0","880 803 872","272 469 360"
