"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:24:42.849, 30 Apr 2021","0,0","0,0","2 936 012 832","1 945 274 240"
"10:24:43.824, 30 Apr 2021","1,9","0,0","2 936 012 832","1 959 954 304"
"10:24:44.824, 30 Apr 2021","1,9","0,0","2 936 012 832","1 976 731 520"
"10:24:45.824, 30 Apr 2021","0,1","0,0","2 936 012 832","1 978 828 672"
"10:24:46.830, 30 Apr 2021","0,1","0,0","2 936 012 832","1 980 925 824"
"10:24:47.825, 30 Apr 2021","1,6","0,0","2 936 012 832","1 995 605 888"
"10:24:48.825, 30 Apr 2021","4,8","0,0","2 936 012 832","2 075 297 664"
"10:24:49.825, 30 Apr 2021","6,2","0,0","2 936 012 832","2 079 491 968"
"10:24:50.825, 30 Apr 2021","0,2","0,0","2 936 012 832","2 081 589 120"
"10:24:51.825, 30 Apr 2021","0,1","0,0","2 936 012 832","2 085 783 424"
"10:24:52.825, 30 Apr 2021","0,1","0,0","2 936 012 832","2 087 880 576"
"10:24:53.836, 30 Apr 2021","0,2","0,0","2 936 012 832","2 089 977 728"
"10:24:54.828, 30 Apr 2021","0,1","0,0","2 936 012 832","2 092 074 880"
"10:24:55.828, 30 Apr 2021","0,2","0,0","2 936 012 832","2 096 269 184"
"10:24:56.829, 30 Apr 2021","0,1","0,0","2 936 012 832","2 100 463 488"
"10:24:57.830, 30 Apr 2021","0,3","0,0","2 936 012 832","2 102 560 640"
"10:24:58.830, 30 Apr 2021","0,1","0,0","2 936 012 832","2 106 754 944"
"10:24:59.830, 30 Apr 2021","0,1","0,0","2 936 012 832","2 110 949 248"
"10:25:00.830, 30 Apr 2021","0,1","0,0","2 936 012 832","2 113 046 400"
"10:25:01.830, 30 Apr 2021","0,1","0,0","2 936 012 832","2 117 240 704"
"10:25:02.831, 30 Apr 2021","0,8","0,0","2 936 012 832","2 144 503 680"
"10:25:03.831, 30 Apr 2021","0,1","0,0","2 936 012 832","2 148 697 984"
"10:25:04.831, 30 Apr 2021","0,0","0,0","2 936 012 832","2 150 795 136"
"10:25:05.831, 30 Apr 2021","0,3","0,0","2 936 012 832","2 154 989 440"
"10:25:06.831, 30 Apr 2021","0,8","0,0","2 936 012 832","2 171 766 656"
"10:25:07.831, 30 Apr 2021","0,4","0,0","2 936 012 832","2 173 863 808"
"10:25:08.831, 30 Apr 2021","0,9","0,0","2 936 012 832","2 205 321 088"
"10:25:09.832, 30 Apr 2021","0,2","0,0","2 936 012 832","2 207 418 240"
"10:25:10.832, 30 Apr 2021","0,1","0,0","2 936 012 832","2 211 612 544"
"10:25:11.832, 30 Apr 2021","0,0","0,0","2 936 012 832","2 213 709 696"
"10:25:12.832, 30 Apr 2021","1,4","0,0","2 936 012 832","2 266 138 496"
"10:25:13.832, 30 Apr 2021","1,3","0,0","2 936 012 832","2 308 081 536"
"10:25:14.832, 30 Apr 2021","0,1","0,0","2 936 012 832","2 312 275 840"
"10:25:15.832, 30 Apr 2021","0,0","0,0","2 936 012 832","2 314 372 992"
"10:25:16.833, 30 Apr 2021","0,1","0,0","2 936 012 832","2 318 567 296"
"10:25:17.833, 30 Apr 2021","0,0","0,0","2 936 012 832","2 320 664 448"
"10:25:18.833, 30 Apr 2021","0,1","0,0","2 936 012 832","2 324 858 752"
"10:25:19.833, 30 Apr 2021","0,1","0,0","2 936 012 832","2 329 053 056"
