"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"13:44:55.995, 29 Apr 2021","0,0","0,0","708 837 408","122 504 704"
"13:44:56.982, 29 Apr 2021","0,4","0,0","708 837 408","122 504 704"
"13:44:57.982, 29 Apr 2021","0,0","0,0","708 837 408","122 504 704"
"13:44:58.982, 29 Apr 2021","1,0","0,0","708 837 408","122 504 704"
"13:44:59.982, 29 Apr 2021","0,1","0,0","708 837 408","124 601 856"
"13:45:00.982, 29 Apr 2021","0,4","0,0","708 837 408","124 601 856"
"13:45:01.982, 29 Apr 2021","0,1","0,0","708 837 408","124 601 856"
"13:45:02.982, 29 Apr 2021","0,2","0,0","708 837 408","124 601 856"
"13:45:03.983, 29 Apr 2021","0,4","0,0","708 837 408","124 601 856"
"13:45:04.983, 29 Apr 2021","0,4","0,0","708 837 408","126 699 008"
"13:45:05.983, 29 Apr 2021","0,6","0,0","708 837 408","126 699 008"
"13:45:06.983, 29 Apr 2021","0,0","0,0","708 837 408","126 699 008"
"13:45:07.983, 29 Apr 2021","0,2","0,0","708 837 408","126 699 008"
"13:45:08.983, 29 Apr 2021","0,3","0,0","708 837 408","126 699 008"
"13:45:09.983, 29 Apr 2021","0,0","0,0","708 837 408","126 699 008"
"13:45:10.983, 29 Apr 2021","0,2","0,0","708 837 408","128 796 160"
"13:45:11.984, 29 Apr 2021","0,2","0,0","708 837 408","128 796 160"
"13:45:12.984, 29 Apr 2021","0,2","0,0","708 837 408","128 796 160"
"13:45:13.984, 29 Apr 2021","0,3","0,0","708 837 408","128 796 160"
"13:45:14.984, 29 Apr 2021","0,1","0,0","708 837 408","128 796 160"
"13:45:15.984, 29 Apr 2021","0,2","0,0","708 837 408","128 796 160"
"13:45:16.984, 29 Apr 2021","0,0","0,0","708 837 408","130 893 312"
"13:45:17.984, 29 Apr 2021","0,1","0,0","708 837 408","130 893 312"
"13:45:18.984, 29 Apr 2021","0,2","0,0","708 837 408","130 893 312"
"13:45:19.985, 29 Apr 2021","0,1","0,0","708 837 408","130 893 312"
"13:45:20.985, 29 Apr 2021","0,2","0,0","708 837 408","130 893 312"
"13:45:21.985, 29 Apr 2021","0,1","0,0","708 837 408","130 893 312"
"13:45:22.985, 29 Apr 2021","0,1","0,0","708 837 408","132 990 464"
"13:45:23.985, 29 Apr 2021","0,2","0,0","708 837 408","132 990 464"
"13:45:24.985, 29 Apr 2021","0,1","0,0","708 837 408","132 990 464"
"13:45:25.985, 29 Apr 2021","0,0","0,0","708 837 408","132 990 464"
"13:45:26.985, 29 Apr 2021","0,1","0,0","708 837 408","132 990 464"
"13:45:27.986, 29 Apr 2021","0,1","0,0","708 837 408","132 990 464"
"13:45:28.986, 29 Apr 2021","0,0","0,0","708 837 408","135 087 616"
"13:45:29.986, 29 Apr 2021","0,1","0,0","708 837 408","135 087 616"
"13:45:30.986, 29 Apr 2021","0,2","0,0","708 837 408","135 087 616"
"13:45:31.986, 29 Apr 2021","0,1","0,0","708 837 408","135 087 616"
