"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"11:51:04.853, 28 Apr 2021","0,0","0,0","696 254 496","81 490 712"
"11:51:05.835, 28 Apr 2021","26,8","0,0","696 254 496","238 777 112"
"11:51:06.835, 28 Apr 2021","35,6","0,2","903 872 544","150 489 600"
"11:51:07.836, 28 Apr 2021","39,0","0,1","903 872 544","267 768 320"
"11:51:08.836, 28 Apr 2021","39,0","0,0","903 872 544","301 593 384"
"11:51:09.836, 28 Apr 2021","32,0","0,0","903 872 544","262 439 808"
"11:51:10.836, 28 Apr 2021","28,2","0,1","903 872 544","174 925 080"
"11:51:11.837, 28 Apr 2021","28,0","0,1","903 872 544","248 893 952"
"11:51:12.837, 28 Apr 2021","17,3","0,1","903 872 544","171 851 264"
"11:51:13.837, 28 Apr 2021","27,8","0,1","903 872 544","238 196 752"
"11:51:14.837, 28 Apr 2021","21,9","0,1","903 872 544","418 347 840"
"11:51:15.837, 28 Apr 2021","14,7","0,1","903 872 544","637 510 656"
"11:51:16.837, 28 Apr 2021","15,8","0,2","1 086 324 768","310 381 968"
"11:51:17.837, 28 Apr 2021","16,5","0,1","1 086 324 768","408 926 392"
"11:51:18.837, 28 Apr 2021","14,8","0,1","1 086 324 768","500 820 480"
"11:51:19.838, 28 Apr 2021","11,2","0,1","1 086 324 768","569 211 032"
"11:51:20.838, 28 Apr 2021","10,3","0,1","1 086 324 768","633 691 480"
"11:51:21.838, 28 Apr 2021","10,8","0,1","1 086 324 768","724 564 928"
"11:51:22.838, 28 Apr 2021","10,9","0,1","1 304 428 576","722 228 760"
"11:51:23.838, 28 Apr 2021","12,7","0,1","1 304 428 576","667 706 136"
"11:51:24.838, 28 Apr 2021","10,5","0,2","1 304 428 576","624 943 104"
"11:51:25.838, 28 Apr 2021","13,2","0,1","1 304 428 576","596 320 256"
"11:51:26.839, 28 Apr 2021","10,9","0,1","1 304 428 576","615 559 168"
"11:51:27.839, 28 Apr 2021","11,5","0,2","1 566 572 576","523 189 248"
"11:51:28.839, 28 Apr 2021","9,5","0,0","1 566 572 576","1 194 277 888"
"11:51:29.839, 28 Apr 2021","10,4","0,2","1 566 572 576","1 050 622 976"
"11:51:30.839, 28 Apr 2021","27,0","0,2","1 566 572 576","964 224 000"
"11:51:31.839, 28 Apr 2021","12,8","0,3","1 566 572 576","816 777 728"
"11:51:32.840, 28 Apr 2021","10,9","0,2","1 566 572 576","597 059 072"
"11:51:33.840, 28 Apr 2021","10,2","0,0","1 566 572 576","1 257 661 952"
"11:51:34.840, 28 Apr 2021","10,6","0,2","1 566 572 576","1 057 383 936"
"11:51:35.840, 28 Apr 2021","10,8","0,2","1 566 572 576","844 598 784"
"11:51:36.840, 28 Apr 2021","10,4","0,2","1 566 572 576","632 653 312"
"11:51:37.840, 28 Apr 2021","8,6","0,0","1 566 572 576","1 314 227 712"
"11:51:38.841, 28 Apr 2021","9,9","0,1","1 566 572 576","1 071 767 496"
"11:51:39.841, 28 Apr 2021","10,5","0,1","1 566 572 576","815 105 536"
"11:51:40.841, 28 Apr 2021","10,1","0,1","1 566 572 576","563 260 768"
"11:51:41.841, 28 Apr 2021","8,7","0,0","1 566 572 576","1 186 114 912"
"11:51:42.841, 28 Apr 2021","10,3","0,1","1 566 572 576","1 003 849 216"
"11:51:43.841, 28 Apr 2021","10,3","0,2","1 566 572 576","844 224 000"
"11:51:44.841, 28 Apr 2021","10,2","0,1","1 566 572 576","698 471 936"
"11:51:45.841, 28 Apr 2021","10,3","0,2","1 566 572 576","579 783 168"
"11:51:46.842, 28 Apr 2021","8,5","0,0","1 566 572 576","1 317 980 672"
"11:51:47.842, 28 Apr 2021","10,2","0,2","1 566 572 576","1 185 915 904"
"11:51:48.842, 28 Apr 2021","10,1","0,2","1 566 572 576","1 084 066 816"
"11:51:49.842, 28 Apr 2021","10,2","0,1","1 566 572 576","954 043 392"
"11:51:50.842, 28 Apr 2021","10,3","0,2","1 566 572 576","803 319 296"
"11:51:51.842, 28 Apr 2021","13,8","0,2","1 566 572 576","668 111 872"
"11:51:52.842, 28 Apr 2021","10,2","0,2","1 566 572 576","563 518 464"
"11:51:53.843, 28 Apr 2021","11,8","0,0","1 566 572 576","1 228 315 648"
"11:51:54.843, 28 Apr 2021","9,9","0,1","1 566 572 576","1 128 512 512"
"11:51:55.843, 28 Apr 2021","10,2","0,1","1 566 572 576","1 048 524 800"
"11:51:56.843, 28 Apr 2021","10,2","0,1","1 566 572 576","924 649 472"
"11:51:57.843, 28 Apr 2021","10,0","0,1","1 566 572 576","823 327 744"
"11:51:58.843, 28 Apr 2021","10,0","0,1","1 566 572 576","755 188 224"
"11:51:59.843, 28 Apr 2021","8,4","0,0","1 566 572 576","1 176 715 776"
"11:52:00.844, 28 Apr 2021","8,5","0,0","1 566 572 576","1 191 395 840"
"11:52:01.844, 28 Apr 2021","9,4","0,0","1 566 572 576","1 283 670 528"
"11:52:02.844, 28 Apr 2021","13,3","0,0","1 566 572 576","1 340 293 632"
"11:52:03.844, 28 Apr 2021","11,9","0,1","1 566 572 576","696 737 280"
"11:52:04.844, 28 Apr 2021","13,1","0,0","1 566 572 576","1 296 522 752"
"11:52:05.844, 28 Apr 2021","8,4","0,0","1 566 572 576","1 309 105 664"
"11:52:06.844, 28 Apr 2021","10,8","0,1","1 566 572 576","621 233 744"
"11:52:07.845, 28 Apr 2021","25,0","0,0","1 566 572 576","833 046 096"
"11:52:08.845, 28 Apr 2021","90,6","0,3","1 566 572 576","831 244 808"
"11:52:09.851, 28 Apr 2021","94,3","0,5","1 566 572 576","662 779 392"
"11:52:10.845, 28 Apr 2021","73,9","0,3","1 566 572 576","876 384 752"
"11:52:11.845, 28 Apr 2021","25,5","0,1","1 566 572 576","850 437 072"
"11:52:12.845, 28 Apr 2021","15,1","0,1","1 566 572 576","1 351 031 616"
"11:52:13.845, 28 Apr 2021","11,0","0,1","1 566 572 576","1 120 405 968"
"11:52:14.846, 28 Apr 2021","9,3","0,1","1 566 572 576","1 042 638 552"
"11:52:15.846, 28 Apr 2021","10,3","0,1","1 566 572 576","948 249 896"
"11:52:16.846, 28 Apr 2021","9,7","0,1","1 566 572 576","877 597 728"
"11:52:17.846, 28 Apr 2021","9,9","0,1","1 566 572 576","813 490 688"
"11:52:18.846, 28 Apr 2021","9,8","0,1","1 566 572 576","763 159 040"
"11:52:19.846, 28 Apr 2021","9,9","0,1","1 566 572 576","718 396 176"
"11:52:20.846, 28 Apr 2021","9,9","0,1","1 566 572 576","664 592 896"
"11:52:21.847, 28 Apr 2021","8,4","0,0","1 566 572 576","1 308 418 560"
"11:52:22.847, 28 Apr 2021","9,9","0,1","1 566 572 576","1 212 174 232"
"11:52:23.847, 28 Apr 2021","9,9","0,1","1 566 572 576","1 104 928 768"
"11:52:24.847, 28 Apr 2021","9,9","0,1","1 566 572 576","1 007 491 264"
"11:52:25.847, 28 Apr 2021","9,9","0,1","1 566 572 576","921 753 984"
"11:52:26.847, 28 Apr 2021","9,8","0,1","1 566 572 576","797 822 976"
"11:52:27.847, 28 Apr 2021","10,5","0,1","1 566 572 576","731 708 256"
"11:52:28.847, 28 Apr 2021","10,0","0,1","1 566 572 576","679 339 712"
"11:52:29.848, 28 Apr 2021","8,4","0,0","1 566 572 576","1 245 570 752"
"11:52:30.848, 28 Apr 2021","9,8","0,1","1 566 572 576","1 139 864 320"
"11:52:31.848, 28 Apr 2021","10,3","0,1","1 566 572 576","1 095 228 416"
"11:52:32.848, 28 Apr 2021","10,1","0,1","1 566 572 576","1 032 179 344"
"11:52:33.848, 28 Apr 2021","9,9","0,1","1 566 572 576","981 557 888"
"11:52:34.848, 28 Apr 2021","9,8","0,1","1 566 572 576","927 767 104"
"11:52:35.849, 28 Apr 2021","9,9","0,1","1 566 572 576","895 122 144"
"11:52:36.849, 28 Apr 2021","19,1","0,0","1 566 572 576","1 304 066 784"
"11:52:37.849, 28 Apr 2021","19,7","0,2","1 566 572 576","925 757 456"
"11:52:38.849, 28 Apr 2021","12,4","0,0","1 566 572 576","1 221 455 888"
"11:52:39.849, 28 Apr 2021","24,4","0,7","1 566 572 576","1 160 843 776"
"11:52:40.849, 28 Apr 2021","41,0","2,3","1 700 790 304","824 909 824"
"11:52:41.849, 28 Apr 2021","0,0","0,0","2 506 096 672","1 065 033 728"
"11:52:42.849, 28 Apr 2021","0,0","0,0","2 506 096 672","1 065 033 728"
"11:52:43.850, 28 Apr 2021","0,0","0,0","2 506 096 672","1 065 033 728"
