"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"11:57:25.684, 28 Apr 2021","0,0","0,0","748 683 296","119 566 848"
"11:57:26.669, 28 Apr 2021","36,8","0,2","899 678 240","150 445 056"
"11:57:27.669, 28 Apr 2021","25,3","0,1","899 678 240","179 994 840"
"11:57:28.669, 28 Apr 2021","36,4","0,0","899 678 240","473 596 120"
"11:57:29.670, 28 Apr 2021","35,1","0,1","899 678 240","454 090 976"
"11:57:30.670, 28 Apr 2021","34,6","0,1","899 678 240","428 214 880"
"11:57:31.670, 28 Apr 2021","36,1","0,2","899 678 240","420 588 544"
"11:57:32.670, 28 Apr 2021","32,2","0,0","899 678 240","644 983 808"
"11:57:33.670, 28 Apr 2021","20,0","0,1","1 080 033 312","421 178 400"
"11:57:34.670, 28 Apr 2021","12,9","0,0","1 080 033 312","735 751 200"
"11:57:35.670, 28 Apr 2021","17,9","0,1","1 080 033 312","492 975 952"
"11:57:36.670, 28 Apr 2021","18,3","0,0","1 080 033 312","658 650 960"
"11:57:37.671, 28 Apr 2021","30,9","0,2","1 080 033 312","473 563 056"
"11:57:38.671, 28 Apr 2021","20,5","0,2","1 080 033 312","539 224 576"
"11:57:39.671, 28 Apr 2021","11,1","0,1","1 080 033 312","553 642 048"
"11:57:40.671, 28 Apr 2021","9,3","0,0","1 080 033 312","631 236 672"
"11:57:41.671, 28 Apr 2021","10,3","0,0","1 080 033 312","805 300 288"
"11:57:42.671, 28 Apr 2021","72,1","0,2","1 080 033 312","487 356 352"
"11:57:43.671, 28 Apr 2021","14,6","0,1","1 080 033 312","495 297 696"
"11:57:44.671, 28 Apr 2021","13,1","0,1","1 080 033 312","557 104 128"
"11:57:45.672, 28 Apr 2021","23,7","0,1","1 080 033 312","856 133 160"
"11:57:46.672, 28 Apr 2021","21,6","0,3","1 080 033 312","683 676 720"
"11:57:47.672, 28 Apr 2021","15,4","0,3","1 080 033 312","350 953 472"
"11:57:48.672, 28 Apr 2021","17,2","0,1","1 080 033 312","482 277 336"
"11:57:49.672, 28 Apr 2021","12,9","0,1","1 080 033 312","663 369 728"
"11:57:50.672, 28 Apr 2021","14,0","0,2","1 296 039 968","774 493 424"
"11:57:51.672, 28 Apr 2021","11,1","0,2","1 296 039 968","707 777 536"
"11:57:52.672, 28 Apr 2021","15,2","0,2","1 296 039 968","670 859 264"
"11:57:53.673, 28 Apr 2021","10,7","0,2","1 296 039 968","661 523 184"
"11:57:54.673, 28 Apr 2021","11,1","0,2","1 556 086 816","634 543 616"
"11:57:55.673, 28 Apr 2021","10,9","0,2","1 556 086 816","487 742 976"
"11:57:56.673, 28 Apr 2021","9,7","0,0","1 556 086 816","1 215 454 720"
"11:57:57.673, 28 Apr 2021","10,9","0,2","1 556 086 816","1 085 503 488"
"11:57:58.673, 28 Apr 2021","10,9","0,2","1 556 086 816","896 880 640"
"11:57:59.673, 28 Apr 2021","10,9","0,2","1 556 086 816","731 586 560"
"11:58:00.674, 28 Apr 2021","11,3","0,2","1 556 086 816","609 938 432"
"11:58:01.674, 28 Apr 2021","9,2","0,0","1 556 086 816","1 320 872 960"
"11:58:02.674, 28 Apr 2021","11,7","0,2","1 830 813 728","1 151 743 488"
"11:58:03.674, 28 Apr 2021","10,7","0,2","1 830 813 728","860 239 360"
"11:58:04.674, 28 Apr 2021","11,3","0,2","1 830 813 728","592 612 864"
"11:58:05.674, 28 Apr 2021","8,5","0,0","1 830 813 728","1 339 198 976"
"11:58:06.674, 28 Apr 2021","10,9","0,2","1 830 813 728","1 088 791 552"
"11:58:07.675, 28 Apr 2021","10,7","0,2","1 830 813 728","858 784 256"
"11:58:08.675, 28 Apr 2021","16,7","0,2","1 830 813 728","623 583 232"
"11:58:09.675, 28 Apr 2021","55,1","0,5","1 830 813 728","809 826 816"
"11:58:10.675, 28 Apr 2021","8,8","0,0","1 830 813 728","1 483 012 608"
"11:58:11.675, 28 Apr 2021","12,1","0,4","1 830 813 728","1 367 023 616"
"11:58:12.675, 28 Apr 2021","9,3","0,0","1 830 813 728","1 292 548 072"
"11:58:13.675, 28 Apr 2021","9,5","0,0","1 830 813 728","1 216 166 704"
"11:58:14.676, 28 Apr 2021","9,8","0,1","1 830 813 728","1 093 779 160"
"11:58:15.676, 28 Apr 2021","9,7","0,1","1 830 813 728","970 731 984"
"11:58:16.676, 28 Apr 2021","10,1","0,1","1 830 813 728","856 367 104"
"11:58:17.676, 28 Apr 2021","8,3","0,0","1 830 813 728","1 565 204 480"
"11:58:18.676, 28 Apr 2021","10,0","0,1","1 830 813 728","1 441 073 664"
"11:58:19.676, 28 Apr 2021","10,1","0,1","1 830 813 728","1 305 061 408"
"11:58:20.677, 28 Apr 2021","10,1","0,1","1 830 813 728","1 237 253 632"
"11:58:21.677, 28 Apr 2021","10,2","0,1","1 830 813 728","1 162 505 216"
"11:58:22.677, 28 Apr 2021","10,0","0,1","1 830 813 728","1 105 708 032"
"11:58:23.677, 28 Apr 2021","10,1","0,1","1 830 813 728","1 068 135 936"
"11:58:24.677, 28 Apr 2021","9,9","0,1","1 830 813 728","1 026 498 560"
"11:58:25.677, 28 Apr 2021","11,0","0,1","1 830 813 728","966 836 528"
"11:58:26.678, 28 Apr 2021","10,2","0,1","1 830 813 728","928 846 488"
"11:58:27.678, 28 Apr 2021","10,0","0,1","1 830 813 728","908 763 312"
"11:58:28.678, 28 Apr 2021","10,2","0,1","1 830 813 728","899 888 112"
"11:58:29.678, 28 Apr 2021","10,2","0,1","1 830 813 728","887 773 024"
"11:58:30.678, 28 Apr 2021","27,5","0,0","1 830 813 728","1 479 169 888"
"11:58:31.678, 28 Apr 2021","9,9","0,1","1 830 813 728","1 495 494 240"
"11:58:32.678, 28 Apr 2021","27,5","0,1","1 830 813 728","1 464 476 160"
"11:58:33.679, 28 Apr 2021","10,0","0,1","1 830 813 728","1 493 248 944"
"11:58:34.679, 28 Apr 2021","28,1","0,1","1 830 813 728","1 477 557 024"
