"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"11:46:34.446, 28 Apr 2021","0,0","0,0","708 837 408","152 427 840"
"11:46:35.427, 28 Apr 2021","28,8","0,1","874 512 416","133 356 544"
"11:46:36.427, 28 Apr 2021","37,0","0,2","874 512 416","157 050 368"
"11:46:37.427, 28 Apr 2021","34,8","0,0","874 512 416","345 794 048"
"11:46:38.427, 28 Apr 2021","31,0","0,1","874 512 416","376 525 496"
"11:46:39.427, 28 Apr 2021","31,2","0,0","874 512 416","441 392 192"
"11:46:40.428, 28 Apr 2021","30,0","0,1","874 512 416","150 529 224"
"11:46:41.428, 28 Apr 2021","15,3","0,1","874 512 416","276 496 072"
"11:46:42.428, 28 Apr 2021","14,3","0,1","1 050 673 184","416 206 144"
"11:46:43.428, 28 Apr 2021","14,9","0,1","1 050 673 184","496 986 584"
"11:46:44.428, 28 Apr 2021","15,6","0,1","1 050 673 184","627 475 456"
"11:46:45.428, 28 Apr 2021","19,7","0,1","1 050 673 184","743 733 224"
"11:46:46.428, 28 Apr 2021","11,9","0,3","1 050 673 184","292 507 568"
"11:46:47.429, 28 Apr 2021","9,9","0,1","1 050 673 184","405 428 240"
"11:46:48.429, 28 Apr 2021","10,0","0,1","1 262 485 536","459 799 064"
"11:46:49.429, 28 Apr 2021","10,0","0,1","1 262 485 536","407 338 184"
"11:46:50.429, 28 Apr 2021","10,6","0,1","1 262 485 536","389 420 816"
"11:46:51.429, 28 Apr 2021","10,4","0,1","1 262 485 536","389 387 808"
"11:46:52.429, 28 Apr 2021","10,1","0,1","1 262 485 536","397 641 840"
"11:46:53.429, 28 Apr 2021","12,3","0,1","1 262 485 536","432 502 784"
"11:46:54.430, 28 Apr 2021","10,1","0,1","1 262 485 536","450 044 840"
"11:46:55.430, 28 Apr 2021","10,1","0,0","1 262 485 536","808 657 832"
"11:46:56.430, 28 Apr 2021","8,5","0,0","1 262 485 536","827 532 200"
"11:46:57.430, 28 Apr 2021","23,2","0,1","1 262 485 536","356 316 672"
"11:46:58.430, 28 Apr 2021","85,5","0,2","1 262 485 536","533 338 624"
"11:46:59.430, 28 Apr 2021","26,3","0,2","1 262 485 536","326 009 344"
"11:47:00.430, 28 Apr 2021","11,0","0,1","1 262 485 536","513 805 312"
"11:47:01.431, 28 Apr 2021","13,1","0,1","1 262 485 536","634 391 552"
"11:47:02.431, 28 Apr 2021","13,2","0,1","1 262 485 536","555 505 664"
"11:47:03.431, 28 Apr 2021","9,7","0,1","1 262 485 536","485 679 920"
"11:47:04.431, 28 Apr 2021","10,3","0,1","1 262 485 536","425 456 576"
"11:47:05.431, 28 Apr 2021","10,0","0,1","1 262 485 536","375 826 088"
"11:47:06.431, 28 Apr 2021","9,9","0,1","1 262 485 536","349 916 504"
"11:47:07.431, 28 Apr 2021","10,5","0,1","1 262 485 536","316 430 336"
"11:47:08.432, 28 Apr 2021","9,5","0,1","1 262 485 536","305 838 968"
"11:47:09.432, 28 Apr 2021","8,8","0,0","1 262 485 536","983 219 064"
"11:47:10.432, 28 Apr 2021","24,0","0,1","1 262 485 536","584 094 880"
"11:47:11.432, 28 Apr 2021","18,8","0,0","1 262 485 536","988 845 216"
"11:47:12.432, 28 Apr 2021","0,0","0,0","1 272 971 296","608 122 880"
"11:47:13.432, 28 Apr 2021","0,0","0,0","1 272 971 296","608 122 880"
