DATE,PLUME_VERSION,FILE_NAME,PHASE,DATABASE,COMPILING_AND_UNPACKING,SOOT,PROGRAM_STRUCTURE_BUILDING,BASE_CPG_BUILDING,DATABASE_WRITE,DATABASE_READ,DATA_FLOW_PASS,CACHE_HITS,CACHE_MISSES,CONNECT_DESERIALIZE,DISCONNECT_SERIALIZE
2021-04-22T11:40:36.894438,0.5.5,FasterXML/jackson-databind,INITIAL,OverflowDB,319779976,8092294618,1287561685,11486116258,4454993127,4273984248,20056754087,435439,17305,256745213,0
2021-04-22T11:40:44.101023,0.5.5,FasterXML/jackson-databind,UPDATE0,OverflowDB,154381807,5464968467,147193642,1105832747,73924888,915990880,312410444,2280,12,0,0
2021-04-22T11:40:50.987238,0.5.5,FasterXML/jackson-databind,UPDATE1,OverflowDB,149142749,5665522786,125233744,841838125,11015324,743224152,84332694,1859,1,0,0
2021-04-22T11:40:57.101550,0.5.5,FasterXML/jackson-databind,UPDATE2,OverflowDB,160564454,4951554122,147306297,750041936,8134005,647612812,85826529,1873,1,0,0
2021-04-22T11:41:04.755676,0.5.5,FasterXML/jackson-databind,UPDATE3,OverflowDB,142166569,4976015898,200050714,2059075080,110987289,1784720948,256951001,3800,50,0,0
2021-04-22T11:48:37.246065,0.5.5,FasterXML/jackson-databind,BUILD0,OverflowDB,140052651,5233643160,596283950,229622012089,5463816240,222693165656,18808595805,435479,17305,0,0
2021-04-22T11:49:34.416114,0.5.5,FasterXML/jackson-databind,BUILD1,OverflowDB,141125796,5200687787,530459803,32402061005,4730207018,26014835488,18087539743,435481,17305,0,0
2021-04-22T11:50:16.192712,0.5.5,FasterXML/jackson-databind,BUILD2,OverflowDB,142263161,5222670812,758499793,16211675384,4917071806,10156580617,18606092126,435498,17305,0,0
2021-04-22T11:51:28.651983,0.5.5,FasterXML/jackson-databind,BUILD3,OverflowDB,138381496,5144637822,507582103,47637162580,5065177096,40971863494,18284710664,435568,17307,0,0
2021-04-22T11:51:40.512120,0.5.5,apache/tinkerpop/gremlin-driver,INITIAL,OverflowDB,24863227,1457583802,166132333,2355872696,1510820980,1015864102,7120663505,101758,7208,0,0
2021-04-22T11:51:44.814112,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE0,OverflowDB,24257802,1362602246,1280078759,1142729357,1136321413,858851536,486864161,7600,260,0,0
2021-04-22T11:51:51.296918,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE1,OverflowDB,23937666,1307862692,252657591,3241367098,153837353,2938913797,1651462603,5622,40,0,0
2021-04-22T11:51:56.297245,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE2,OverflowDB,25072514,1369505172,390732818,1676312489,57904994,1644362596,1532979192,3438,9,0,0
2021-04-22T11:52:00.522372,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE3,OverflowDB,33460305,1282405780,272440035,1054275815,64690927,819458662,1576816109,3974,9,0,0,49194620
2021-04-22T11:53:32.081388,0.5.5,apache/tinkerpop/gremlin-driver,BUILD0,OverflowDB,24059790,1482396606,201794705,14905069839,935823506,13508133863,5726330208,102622,7279,0,0
2021-04-22T11:53:45.517345,0.5.5,apache/tinkerpop/gremlin-driver,BUILD1,OverflowDB,23503669,1483517462,221310944,3744670830,881650424,2447179150,7880215404,102631,7277,0,0
2021-04-22T11:53:56.157162,0.5.5,apache/tinkerpop/gremlin-driver,BUILD2,OverflowDB,26410099,1361404159,224457749,2213004069,864687951,851951333,6735805311,102670,7277,0,0
2021-04-22T11:54:15.649925,0.5.5,apache/tinkerpop/gremlin-driver,BUILD3,OverflowDB,24310224,1360220548,191365482,9880642323,925856941,8466451104,7957760528,102631,7277,0,0
2021-04-22T11:54:22.331185,0.5.5,neo4j/neo4j,INITIAL,OverflowDB,10666940,919042943,65918315,681059897,327715457,186697985,4929824492,32607,3881,0,0
2021-04-22T11:54:23.497131,0.5.5,neo4j/neo4j,UPDATE0,OverflowDB,11253172,910267570,33833116,85025919,6743531,42796517,121560062,1138,24,0,0
2021-04-22T11:54:24.724782,0.5.5,neo4j/neo4j,UPDATE1,OverflowDB,10158103,866917819,237818995,83977568,189629903,40197193,24848967,834,0,0,0
2021-04-22T11:54:26.308224,0.5.5,neo4j/neo4j,UPDATE2,OverflowDB,9951632,854545067,167003273,227297868,58210279,120431955,320636740,2450,31,0,0
2021-04-22T11:54:27.662830,0.5.5,neo4j/neo4j,UPDATE3,OverflowDB,10092866,855570205,136592263,196332806,11382042,105568423,152010159,1628,10,0,0
2021-04-22T11:54:56.139581,0.5.5,neo4j/neo4j,BUILD0,OverflowDB,10114641,934413142,69063618,680049773,275121566,185833586,3406803120,32942,3905,0,0
2021-04-22T11:55:01.749039,0.5.5,neo4j/neo4j,BUILD1,OverflowDB,10392046,935311759,67654263,687854171,272764275,198790114,3887837991,32563,3877,0,0
2021-04-22T11:55:07.076847,0.5.5,neo4j/neo4j,BUILD2,OverflowDB,10530826,952754584,66881283,688651790,277430839,184147412,3588380759,32684,3867,0,0
2021-04-22T11:55:12.509195,0.5.5,neo4j/neo4j,BUILD3,OverflowDB,10019741,934651983,68274359,723505960,277355443,225395671,3675710120,32803,3874,0,0
2021-04-22T11:56:09.931629,0.5.5,FasterXML/jackson-databind,INITIAL,OverflowDB,140823093,5155838043,579856786,33045845990,4146835335,26703547922,18466891750,435439,17305,0,0
2021-04-22T11:56:16.434540,0.5.5,FasterXML/jackson-databind,UPDATE0,OverflowDB,135298074,4970685406,72149453,1005827488,33731593,902987492,303508233,2280,12,0,0
2021-04-22T11:56:22.605163,0.5.5,FasterXML/jackson-databind,UPDATE1,OverflowDB,141496490,5012661944,68083682,851327254,9490345,758055816,81832065,1859,1,0,0
2021-04-22T11:56:28.612607,0.5.5,FasterXML/jackson-databind,UPDATE2,OverflowDB,138583856,4894523940,88543396,781458196,7830289,685727191,89208381,1873,1,0,0
2021-04-22T11:56:36.231130,0.5.5,FasterXML/jackson-databind,UPDATE3,OverflowDB,141017783,4988066528,149261707,2054641536,98574032,1814132868,270305065,3800,50,0,0
2021-04-22T12:04:09.046648,0.5.5,FasterXML/jackson-databind,BUILD0,OverflowDB,145592921,5290461348,540090981,229833626229,5360032704,222842943419,18064508409,435479,17305,0,0
2021-04-22T12:05:07.750865,0.5.5,FasterXML/jackson-databind,BUILD1,OverflowDB,145142687,5281814907,527331804,32811174400,4892985309,26145637038,19149939429,435481,17305,0,0
2021-04-22T12:05:49.104122,0.5.5,FasterXML/jackson-databind,BUILD2,OverflowDB,141439086,5311169398,755326860,16352571897,4727378068,10128237841,17947107382,435498,17305,0,0
2021-04-22T12:07:01.531379,0.5.5,FasterXML/jackson-databind,BUILD3,OverflowDB,135167893,5272022279,506055691,47585403390,4813683352,41024906993,18182926624,435568,17307,0,0
2021-04-22T12:07:13.412156,0.5.5,apache/tinkerpop/gremlin-driver,INITIAL,OverflowDB,24411023,1409106560,164665475,2343263597,1498031420,1001995963,7223816812,101758,7208,0,0
2021-04-22T12:07:17.905615,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE0,OverflowDB,24938804,1293777718,1505948093,1179670977,1478925413,896153045,483950008,7600,260,0,0
2021-04-22T12:07:24.470994,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE1,OverflowDB,24299460,1318505037,235097517,3286495299,155745214,2981400576,1695803273,5622,40,0,0
2021-04-22T12:07:29.418899,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE2,OverflowDB,24306057,1294415528,381735679,1671188854,56360643,1638258921,1571059992,3438,9,0,0
2021-04-22T12:07:33.601849,0.5.5,apache/tinkerpop/gremlin-driver,UPDATE3,OverflowDB,24079458,1291049852,220704907,1049950304,64023460,823396489,1591969605,3974,9,0,0
2021-04-22T12:09:04.334868,0.5.5,apache/tinkerpop/gremlin-driver,BUILD0,OverflowDB,29040447,1471956342,202649483,14731906759,933397121,13288090128,5799475368,102622,7279,0,0
2021-04-22T12:09:17.472339,0.5.5,apache/tinkerpop/gremlin-driver,BUILD1,OverflowDB,26029649,1357765984,220303712,3672053736,885678345,2342809624,7780161805,102631,7277,0,0
2021-04-22T12:09:28.283866,0.5.5,apache/tinkerpop/gremlin-driver,BUILD2,OverflowDB,24221472,1402008663,222657892,2418004815,896635584,1093835139,6665312884,102670,7277,0,0
