Date,Size [B],Used [B]
2021-04-30T12:49:05.439922,599782888,115345944
2021-04-30T12:49:07.940334,525755512,382311304
2021-04-30T12:49:10.440618,517267456,390799360
2021-04-30T12:49:12.940870,652869888,255196928
2021-04-30T12:49:15.441162,643315104,264751712
2021-04-30T12:49:17.941510,635977120,272089696
2021-04-30T12:49:20.441784,613589904,294476912
2021-04-30T12:49:22.942072,602422688,305644128
2021-04-30T12:49:25.442354,592618504,315448312
2021-04-30T12:49:27.942631,582132720,325934096
2021-04-30T12:49:30.442961,571646976,336419840
2021-04-30T12:49:32.943286,561161224,346905592
2021-04-30T12:49:35.443545,550310488,357756328
2021-04-30T12:49:37.943781,538092496,369974320
2021-04-30T12:49:40.444028,527606768,380460048
2021-04-30T12:49:42.944323,515023848,393042968
2021-04-30T12:49:45.444674,502440864,405625952
2021-04-30T12:49:47.945032,490223008,417843808
2021-04-30T12:49:50.445398,478690720,429376096
2021-04-30T12:49:52.945729,464692232,443374584
2021-04-30T12:49:55.446066,451772280,456294536
2021-04-30T12:49:57.946359,436747680,471319136
2021-04-30T12:50:00.446633,423797712,484269104
2021-04-30T12:50:02.946963,410166288,497900528
2021-04-30T12:50:05.447300,397218416,510848400
2021-04-30T12:50:07.947657,385000432,523066384
2021-04-30T12:50:10.448046,372417536,535649280
2021-04-30T12:50:12.948431,359469656,548597160
2021-04-30T12:50:15.448780,345154576,562912240
2021-04-30T12:50:17.949119,332571600,575495216
2021-04-30T12:50:20.449487,318940144,589126672
2021-04-30T12:50:22.949896,302529952,605536864
2021-04-30T12:50:25.450209,288531408,619535408
2021-04-30T12:50:27.950489,273851384,634215432
2021-04-30T12:50:30.450796,258489760,649577056
2021-04-30T12:50:32.951170,243442656,664624160
2021-04-30T12:50:35.451568,227714040,680352776
2021-04-30T12:50:37.951933,667851088,240215728
2021-04-30T12:50:40.452277,652120400,255946416
2021-04-30T12:50:42.952593,636393808,271673008
2021-04-30T12:50:45.452926,620663120,287403696
2021-04-30T12:50:47.953238,603885904,304180912
2021-04-30T12:50:50.453584,587108688,320958128
2021-04-30T12:50:52.953992,571382096,336684720
2021-04-30T12:50:55.454348,554604880,353461936
2021-04-30T12:50:57.954621,538874192,369192624
2021-04-30T12:51:00.454899,522096976,385969840
2021-04-30T12:51:02.955222,505319760,402747056
2021-04-30T12:51:05.455562,489593168,418473648
2021-04-30T12:51:07.955880,472815952,435250864
2021-04-30T12:51:10.456238,456038736,452028080
2021-04-30T12:51:12.956565,440308048,467758768
2021-04-30T12:51:15.456891,423530832,484535984
2021-04-30T12:51:17.957235,407804240,500262576
2021-04-30T12:51:20.457541,393124176,514942640
2021-04-30T12:51:22.957904,378444112,529622704
2021-04-30T12:51:25.458217,362713424,545353392
2021-04-30T12:51:27.958526,348033360,560033456
2021-04-30T12:51:30.458867,333353296,574713520
2021-04-30T12:51:32.959234,318673232,589393584
2021-04-30T12:51:35.459555,302946640,605120176
2021-04-30T12:51:37.959845,288266576,619800240
2021-04-30T12:51:40.460104,271489360,636577456
2021-04-30T12:51:42.960371,255758672,652308144
2021-04-30T12:51:45.460675,523349688,384717128
2021-04-30T12:51:47.961013,506557600,401509216
2021-04-30T12:51:50.461324,491877536,416189280
2021-04-30T12:51:52.961641,452031648,456035168
2021-04-30T12:51:55.461939,411139232,496927584
2021-04-30T12:51:57.962236,403797152,504269664
2021-04-30T12:52:00.462546,380728480,527338336
2021-04-30T12:52:02.962855,355562656,552504160
2021-04-30T12:52:05.463179,349271200,558795616
2021-04-30T12:52:07.963495,310475936,597590880
2021-04-30T12:52:10.463807,304184480,603882336
2021-04-30T12:52:12.964096,266435744,641631072
2021-04-30T12:52:15.464344,256989352,651077464
2021-04-30T12:52:17.964582,223442080,684624736
2021-04-30T12:52:20.464865,207715488,700351328
2021-04-30T12:52:22.965189,649380848,258685968
2021-04-30T12:52:25.465482,622118408,285948408
2021-04-30T12:52:27.965779,611632112,296434704
2021-04-30T12:52:30.466072,574934000,333132816
2021-04-30T12:52:32.966424,567591920,340474896
2021-04-30T12:52:35.466728,527746032,380320784
2021-04-30T12:52:37.967132,519341080,388725736
2021-04-30T12:52:40.467530,486853616,421213200
2021-04-30T12:52:42.967849,471122928,436943888
2021-04-30T12:52:45.468224,444910576,463156240
2021-04-30T12:52:47.968553,421841904,486224912
2021-04-30T12:52:50.468874,402967536,505099280
2021-04-30T12:52:52.969207,374648832,533417984
2021-04-30T12:52:55.469598,344247280,563819536
2021-04-30T12:52:57.970015,322225136,585841680
2021-04-30T12:53:00.470375,285527024,622539792
2021-04-30T12:53:02.970712,272944112,635122704
2021-04-30T12:53:05.471078,234144752,673922064
2021-04-30T12:53:07.971391,219330368,688736448
2021-04-30T12:53:10.471704,185910256,722156560
2021-04-30T12:53:12.972028,637860168,270206648
2021-04-30T12:53:15.472388,615955456,292111360
2021-04-30T12:53:17.972705,581350400,326716416
2021-04-30T12:53:20.472990,568767488,339299328
2021-04-30T12:53:22.973297,529972224,378094592
2021-04-30T12:53:25.473616,521583616,386483200
2021-04-30T12:53:27.973905,480687104,427379712
2021-04-30T12:53:30.474221,458669056,449397760
2021-04-30T12:53:32.974511,431406080,476660736
2021-04-30T12:53:35.474861,397851648,510215168
2021-04-30T12:53:37.975182,386315264,521751552
2021-04-30T12:53:40.475515,347520000,560546816
2021-04-30T12:53:42.975848,334937088,573129728
2021-04-30T12:53:45.476193,300332032,607734784
2021-04-30T12:53:47.976505,274117632,633949184
2021-04-30T12:53:50.476845,256291840,651774976
2021-04-30T12:53:52.977172,234273792,673793024
2021-04-30T12:53:55.477434,222737408,685329408
2021-04-30T12:53:57.977679,208057344,700009472
2021-04-30T12:54:00.477980,194425856,713640960
2021-04-30T12:54:02.978311,180794368,727272448
2021-04-30T12:54:05.478630,164017152,744049664
2021-04-30T12:54:07.978949,644612272,263454544
2021-04-30T12:54:10.479238,628885680,279181136
2021-04-30T12:54:12.979530,613154992,294911824
2021-04-30T12:54:15.479824,597428400,310638416
2021-04-30T12:54:17.980063,583694128,324372688
2021-04-30T12:54:20.480333,569014072,339052744
2021-04-30T12:54:22.980734,552337584,355729232
2021-04-30T12:54:25.481041,435569280,472497536
2021-04-30T12:54:27.981396,400968320,507098496
2021-04-30T12:54:30.481644,365316736,542750080
2021-04-30T12:54:32.981938,327568000,580498816
2021-04-30T12:54:35.482281,292892912,615173904
2021-04-30T12:54:37.982553,258361984,649704832
2021-04-30T12:54:40.482821,221659776,686407040
2021-04-30T12:54:42.983167,184961664,723105152
2021-04-30T12:54:45.483497,148165064,759901752
2021-04-30T12:54:47.983777,608613376,299453440
2021-04-30T12:54:50.484016,570805840,337260976
2021-04-30T12:54:52.984357,534166528,373900288
2021-04-30T12:54:55.484657,497405520,410661296
2021-04-30T12:54:57.984960,462863360,445203456
2021-04-30T12:55:00.485220,425114624,482952192
2021-04-30T12:55:02.985474,391560192,516506624
2021-04-30T12:55:05.485791,355908608,552158208
2021-04-30T12:55:07.986060,321303552,586763264
2021-04-30T12:55:10.486350,286702592,621364224
2021-04-30T12:55:12.986666,253992744,654074072
2021-04-30T12:55:15.486948,216445952,691620864
2021-04-30T12:55:17.987183,182796112,725270704
2021-04-30T12:55:20.487447,146191360,761875456
2021-04-30T12:55:22.987764,611581960,296484856
2021-04-30T12:55:25.488053,577966336,330100480
2021-04-30T12:55:27.988342,541329416,366737400
2021-04-30T12:55:30.488702,505675784,402391032
2021-04-30T12:55:32.989065,471059080,437007736
2021-04-30T12:55:35.489390,433324040,474742776
2021-04-30T12:55:37.989710,399708496,508358320
2021-04-30T12:55:40.490016,364084728,543982088
2021-04-30T12:55:42.990389,328232624,579834192
2021-04-30T12:55:45.490684,292814856,615251960
2021-04-30T12:55:47.990928,259199232,648867584
2021-04-30T12:55:50.491216,222560264,685506552
2021-04-30T12:55:52.991541,185846400,722220416
2021-04-30T12:55:55.491871,149161992,758904824
2021-04-30T12:55:57.992209,618190344,289876472
