Date,Size [B],Used [B]
2021-05-04T19:40:27.301693,695946256,145011696
2021-05-04T19:40:29.802038,380713920,460244032
2021-05-04T19:40:32.302321,459855080,381102872
2021-05-04T19:40:34.802630,545276280,501202568
2021-05-04T19:40:37.302898,205336576,841142272
2021-05-04T19:40:39.803173,1165285376,816523264
2021-05-04T19:40:42.303467,966276424,1015532216
2021-05-04T19:40:44.803746,665340296,1316468344
2021-05-04T19:40:47.303982,1213853696,1701187584
2021-05-04T19:40:49.804218,969535952,1945505328
2021-05-04T19:40:52.304458,482664448,2432376832
2021-05-04T19:40:54.804709,1433061376,1481979904
2021-05-04T19:40:57.304976,1131732992,1783308288
2021-05-04T19:40:59.805568,455656960,2459384320
2021-05-04T19:41:02.305803,906740736,2008300544
2021-05-04T19:41:04.903114,1448491920,1466549360
2021-05-04T19:41:07.403396,1722313200,1192728080
2021-05-04T19:41:09.903736,727856880,2187184400
