Date,Size [B],Used [B]
2021-05-02T19:21:14.458656,5525589328,2049323696
2021-05-02T19:21:16.958842,4660156928,2914756096
2021-05-02T19:21:19.459067,2944686592,4630226432
2021-05-02T19:22:28.061977,2735880488,7808599768
2021-05-02T19:22:30.562251,6849815040,3694665216
2021-05-02T19:22:33.062493,5425850880,5118629376
2021-05-02T19:23:46.717393,4104180464,6440299792
2021-05-02T19:23:49.217608,2376142848,8168337408
2021-05-02T19:23:51.717833,5735782400,4808697856
2021-05-02T19:28:47.539816,4663736832,2303002112
2021-05-02T19:28:50.040056,3933927936,3032811008
2021-05-02T19:28:52.540312,2432367104,4534371840
2021-05-02T19:30:04.929054,1462694912,6661671936
2021-05-02T19:30:07.429279,4246732800,3877634048
2021-05-02T19:30:09.929512,2757754880,5366611968
2021-05-02T19:31:29.697362,1800668168,6323698680
2021-05-02T19:31:32.197583,3677619208,4446747640
2021-05-02T19:31:34.697796,2249460744,5874906104
2021-05-02T19:33:38.836290,5728493056,1800282624
2021-05-02T19:33:41.336495,4923186688,2605588992
2021-05-02T19:33:43.836728,2985418240,4543357440
2021-05-02T19:38:08.042124,5449468928,1685042176
2021-05-02T19:38:10.542348,4711271424,2423239680
2021-05-02T19:38:13.042606,3243265024,3891246080
2021-05-02T19:38:15.542838,5745169408,1389341696
2021-05-02T19:41:43.965706,5427870208,1601783296
2021-05-02T19:41:46.465932,4654019072,2375634432
2021-05-02T19:41:48.966190,2863051264,4166602240
2021-05-02T19:43:01.243950,4024621568,4015859200
2021-05-02T19:43:03.744188,2168640000,5871840768
2021-05-02T19:43:06.244424,4582299344,3458181424
2021-05-02T19:46:01.554204,5307339776,2041080832
2021-05-02T19:46:04.054457,4527199232,2821221376
2021-05-02T19:46:06.554700,2696383488,4652037120

2021-05-02T21:52:41.999667,665914560,248443712
2021-05-02T21:52:44.500116,553503672,360854600
2021-05-02T21:52:47.000476,312763568,601594704
2021-05-02T21:52:49.500883,531883232,382475040
2021-05-02T21:53:20.911114,509028968,220779928
2021-05-02T21:53:23.411574,580890312,295719224
2021-05-02T21:53:25.911873,418161336,458448200
2021-05-02T21:53:28.412244,381522632,495086904
